Departure,Arrival,Number of flights
AAH,NO,0
AAL,RNN,6
AAL,CPH,121
AAL,FAE,4
AAL,KEF,2
AAL,NAP,1
AAL,KUN,2
AAL,AMS,27
AAL,OSL,7
AAL,TRF,3
AAL,PDL,1
AAL,ALC,1
AAL,AGP,5
AAL,PMI,3
AAL,AYT,4
AAL,STN,4
AAL,EWR,3
AAR,ZAD,2
AAR,AAR,1
AAR,RNN,2
AAR,CPH,33
AAR,RKE,1
AAR,CFU,1
AAR,MXP,2
AAR,RIX,2
AAR,OSL,6
AAR,GDN,3
AAR,FAO,2
AAR,OTP,2
AAR,AGP,3
AAR,PMI,2
AAR,BMA,6
AAR,STN,10
ABD,IFN,1
ABD,MHD,22
ABD,SRY,2
ABD,SYZ,3
ABD,THR,28
ABA,KJA,4
ABA,DME,8
ABA,SVO,8
ABA,NSK,3
ABA,OVB,16
ABA,OMS,1
ABA,PEE,1
ABA,AER,2
ABZ,CPH,1
ABZ,EBJ,6
ABZ,CFU,1
ABZ,RHO,1
ABZ,DUB,15
ABZ,RIX,2
ABZ,AMS,33
ABZ,BGO,14
ABZ,OSL,7
ABZ,SVG,25
ABZ,GDN,3
ABZ,FAO,2
ABZ,ALC,3
ABZ,AGP,2
ABZ,PMI,3
ABZ,REU,1
ABZ,TFS,1
ABZ,DLM,4
ABZ,BHD,8
ABZ,BHX,20
ABZ,BRS,7
ABZ,LDY,1
ABZ,HUY,8
ABZ,KOI,21
ABZ,LGW,16
ABZ,LHR,36
ABZ,LTN,10
ABZ,MAN,26
ABZ,NCL,19
ABZ,NWI,13
ABZ,EMA,2
ABZ,QKR,1
ABZ,LSI,33
ABZ,MME,7
ABZ,WIC,13
ABZ,IAH,1
ABR,BIL,1
ABR,MSP,16
ABR,RAP,1
ABR,SJC,1
ABR,FSD,3
AHB,CAI,13
AHB,HMB,1
AHB,KWI,5
AHB,DMM,34
AHB,JED,111
AHB,RUH,141
AHB,SHW,2
AHB,TIF,3
AHB,DXB,14
AHB,SHJ,8
ABJ,ALG,4
ABJ,BRU,3
ABJ,COO,15
ABJ,BOY,2
ABJ,OUA,18
ABJ,DLA,1
ABJ,NSI,5
ABJ,BZV,5
ABJ,BYK,0
ABJ,HGO,0
ABJ,MJC,0
ABJ,KEO,0
ABJ,SPY,0
ABJ,FIH,4
ABJ,ADD,9
ABJ,CDG,16
ABJ,ORY,8
ABJ,LBV,4
ABJ,ACC,27
ABJ,CKY,8
ABJ,OXB,2
ABJ,NBO,3
ABJ,BEY,2
ABJ,ROB,3
ABJ,BKO,16
ABJ,CMN,11
ABJ,NIM,12
ABJ,ABV,3
ABJ,LOS,13
ABJ,DSS,22
ABJ,DAM,1
ABJ,LFW,17
ABJ,TUN,4
ABJ,IST,3
ABJ,LTN,1
ABJ,JFK,5
ABJ,NLA,1
ABI,CLL,1
ABI,DFW,33
ABI,IAH,1
ABI,LBB,4
ABI,MZJ,1
AUH,KBL,3
AUH,TIA,4
AUH,EVN,8
AUH,MEL,7
AUH,SYD,9
AUH,VIE,11
AUH,GYD,11
AUH,BAH,53
AUH,CGP,7
AUH,DAC,18
AUH,ZYL,2
AUH,BRU,6
AUH,SJJ,8
AUH,SOF,2
AUH,YYZ,8
AUH,PKX,4
AUH,CAN,7
AUH,PVG,12
AUH,WUH,1
AUH,LCA,0
AUH,HBE,10
AUH,CAI,50
AUH,HMB,2
AUH,CDG,13
AUH,KUT,7
AUH,TBS,4
AUH,FRA,16
AUH,MUC,8
AUH,ATH,12
AUH,JMK,0
AUH,JTR,2
AUH,HKG,8
AUH,BUD,3
AUH,AMD,21
AUH,BLR,16
AUH,MAA,32
AUH,COK,46
AUH,DEL,32
AUH,HYD,24
AUH,CNN,6
AUH,CCU,11
AUH,CCJ,21
AUH,IXE,4
AUH,BOM,56
AUH,TRZ,1
AUH,TRV,23
AUH,CGK,8
AUH,DUB,8
AUH,TLV,17
AUH,CTA,2
AUH,MXP,8
AUH,NAP,2
AUH,FCO,12
AUH,NRT,8
AUH,AMM,24
AUH,AQJ,2
AUH,ALA,4
AUH,NQZ,3
AUH,KWI,45
AUH,FRU,4
AUH,BEY,21
AUH,KUL,8
AUH,MLE,16
AUH,CMN,4
AUH,KTM,4
AUH,AMS,12
AUH,MCT,28
AUH,SLL,11
AUH,LYP,3
AUH,ISB,24
AUH,KHI,16
AUH,LHE,19
AUH,MUX,2
AUH,PEW,6
AUH,SKT,2
AUH,MNL,16
AUH,KTW,2
AUH,KRK,2
AUH,DOH,66
AUH,OTP,3
AUH,CLJ,1
AUH,DME,6
AUH,SVO,8
AUH,DMM,32
AUH,JED,26
AUH,MED,8
AUH,RUH,35
AUH,BEG,6
AUH,SEZ,3
AUH,SIN,8
AUH,JNB,7
AUH,ICN,8
AUH,BCN,8
AUH,MAD,8
AUH,CMB,6
AUH,KRT,3
AUH,GVA,5
AUH,ZRH,8
AUH,DAM,3
AUH,BKK,12
AUH,HKT,4
AUH,ESB,5
AUH,AYT,4
AUH,IST,19
AUH,SAW,7
AUH,DXB,1
AUH,LHR,32
AUH,MAN,8
AUH,ORD,8
AUH,JFK,16
AUH,IAD,8
AUH,SKD,3
AUH,TAS,6
AUH,HAN,5
AZI,LBG,1
AEU,BND,5
ABS,ASW,6
ABS,CAI,1
ABV,COO,1
ABV,DLA,4
ABV,NSI,4
ABV,NDJ,4
ABV,ABJ,0
ABV,CAI,2
ABV,ADD,8
ABV,CDG,3
ABV,FRA,6
ABV,ACC,11
ABV,AKR,23
ABV,ABB,20
ABV,BCU,4
ABV,BNI,30
ABV,CBQ,12
ABV,ENU,23
ABV,GMO,13
ABV,IBA,16
ABV,ILR,31
ABV,JOS,3
ABV,KAN,49
ABV,DKA,3
ABV,LOS,273
ABV,MIU,27
ABV,MDI,4
ABV,QOW,22
ABV,PHC,51
ABV,SKO,16
ABV,QUO,27
ABV,QRW,8
ABV,YOL,17
ABV,DOH,8
ABV,LFW,8
ABV,IST,5
ABV,LHR,8
ACA,CUN,2
ACA,GDL,8
ACA,NLU,10
ACA,MEX,59
ACA,MTY,3
ACA,TIJ,10
ACA,DFW,1
ACA,IAH,1
ACC,BRU,7
ACC,GRU,6
ACC,OUA,3
ACC,ABJ,0
ACC,CAI,4
ACC,ADD,13
ACC,CDG,3
ACC,KMS,98
ACC,NYI,6
ACC,TKD,34
ACC,TML,53
ACC,WZA,5
ACC,NBO,11
ACC,BEY,2
ACC,ROB,15
ACC,CMN,4
ACC,AMS,7
ACC,ABV,9
ACC,LOS,45
ACC,PHC,1
ACC,LIS,4
ACC,DOH,5
ACC,KGL,4
ACC,TMS,3
ACC,DSS,2
ACC,FNA,12
ACC,JNB,3
ACC,LFW,22
ACC,IST,10
ACC,DXB,8
ACC,LHR,8
ACC,JFK,8
ACC,IAD,3
ADT,NO,0
ADK,ANC,3
AIP,NO,0
ADA,BRU,1
ADA,BER,1
ADA,CGN,2
ADA,DUS,7
ADA,FRA,4
ADA,HAJ,1
ADA,MUC,1
ADA,STR,2
ADA,IKA,2
ADA,BEY,8
ADA,DOH,3
ADA,DME,3
ADA,SVO,4
ADA,JED,5
ADA,MED,5
ADA,ESB,24
ADA,AYT,26
ADA,BJV,8
ADA,ECN,37
ADA,IST,97
ADA,ISL,1
ADA,SAW,75
ADA,ADB,21
ADA,TZX,5
ADA,VAN,4
ADD,LAD,7
ADD,VIE,7
ADD,BAH,1
ADD,BRU,11
ADD,LGG,10
ADD,COO,4
ADD,GBE,9
ADD,GRU,8
ADD,OUA,5
ADD,BJM,11
ADD,DLA,6
ADD,NSI,4
ADD,NDJ,9
ADD,PEK,6
ADD,CSX,2
ADD,CTU,2
ADD,TFU,3
ADD,CAN,12
ADD,PVG,5
ADD,WUH,2
ADD,BZV,10
ADD,ABJ,0
ADD,GOM,8
ADD,FIH,14
ADD,FBM,2
ADD,JIB,13
ADD,CAI,16
ADD,SSG,3
ADD,ASM,17
ADD,AMH,16
ADD,ASO,27
ADD,AWA,24
ADD,BJR,120
ADD,DSE,48
ADD,DIR,79
ADD,GMB,19
ADD,GOB,4
ADD,GDQ,59
ADD,SHC,16
ADD,JIJ,64
ADD,JIM,24
ADD,BCO,4
ADD,LLI,8
ADD,MQX,59
ADD,SZE,16
ADD,CDG,8
ADD,LBV,4
ADD,FRA,8
ADD,ACC,18
ADD,ATH,5
ADD,HKG,8
ADD,BLR,3
ADD,MAA,6
ADD,DEL,12
ADD,BOM,19
ADD,DUB,26
ADD,TLV,17
ADD,MXP,4
ADD,FCO,8
ADD,AMM,5
ADD,MBA,8
ADD,NBO,30
ADD,KWI,10
ADD,BEY,10
ADD,TNR,8
ADD,NOS,5
ADD,BLZ,4
ADD,LLW,9
ADD,BKO,9
ADD,MPM,8
ADD,WDH,10
ADD,NIM,2
ADD,ABV,8
ADD,ENU,4
ADD,KAN,9
ADD,LOS,13
ADD,MCT,4
ADD,KHI,4
ADD,DOH,8
ADD,DME,5
ADD,KGL,19
ADD,DMM,4
ADD,JED,24
ADD,RUH,11
ADD,SEZ,8
ADD,SIN,5
ADD,BSA,2
ADD,GGR,6
ADD,HGA,17
ADD,MGQ,17
ADD,CPT,8
ADD,JNB,23
ADD,ICN,5
ADD,JUB,16
ADD,KRT,2
ADD,ARN,8
ADD,GVA,7
ADD,DAR,17
ADD,JRO,8
ADD,ZNZ,8
ADD,BKK,8
ADD,LFW,11
ADD,IST,16
ADD,EBB,24
ADD,DXB,40
ADD,SHJ,6
ADD,LHR,8
ADD,ADE,1
ADD,LUN,11
ADD,NLA,4
ADD,HRE,9
ADD,VFA,6
ADL,ASP,17
ADL,BNE,93
ADL,BHQ,10
ADL,CNS,12
ADL,CBR,34
ADL,CED,8
ADL,CPD,3
ADL,DRW,26
ADL,OOL,18
ADL,HBA,4
ADL,KGC,7
ADL,MEL,201
ADL,MQL,1
ADL,MOO,5
ADL,MGB,24
ADL,NTL,4
ADL,OLP,23
ADL,PER,48
ADL,PLO,78
ADL,MCY,4
ADL,SYD,144
ADL,TSV,3
ADL,WYA,28
ADL,NAN,3
ADL,DPS,12
ADL,KUL,6
ADL,AKL,12
ADL,DOH,8
ADL,SIN,8
ADE,JIB,10
ADE,CAI,14
ADE,ADD,1
ADE,BOM,1
ADE,AMM,9
ADE,JED,21
ADE,MED,5
ADE,RUH,1
ADE,HGA,1
ADE,KRT,2
ADE,RIY,2
ADE,GXF,1
ADF,ESB,8
ADF,IST,13
ADF,SAW,7
AZR,ALG,19
AZR,BMW,7
AZR,CZL,1
AZR,GHA,1
AZR,HME,1
AZR,ORN,5
AZR,OGX,1
AZR,TMR,3
AZR,JED,0
AZR,MED,1
AZR,MAD,1
ADG,YTZ,1
ADG,ACB,1
AFO,NO,0
AJY,NIM,0
AJY,ZND,0
AGA,CRL,3
AGA,BSL,2
AGA,BOD,2
AGA,LIL,2
AGA,LYS,2
AGA,MRS,4
AGA,NTE,4
AGA,BVA,6
AGA,ORY,32
AGA,PGF,2
AGA,SXB,2
AGA,TLS,3
AGA,DUS,3
AGA,FRA,2
AGA,NRN,2
AGA,DUB,2
AGA,BGY,3
AGA,LUX,1
AGA,CMN,28
AGA,VIL,2
AGA,EUN,2
AGA,FEZ,2
AGA,RAK,3
AGA,RBA,5
