Departure,Arrival,Number of flights
BQN,STI,6
BQN,SDQ,6
BQN,AMS,6
BQN,FLL,7
BQN,MEM,1
BQN,JFK,16
BQN,EWR,8
BQN,MCO,31
BQN,TPA,3
BYF,NO,0
BLM,YUL,1
BLM,BCT,1
BLM,PBI,1
BXB,SOQ,2
BCM,LIN,1
BCM,MXP,2
BCM,FCO,6
BCM,LTN,8
BCD,CRK,5
BCD,CEB,45
BCD,DVO,6
BCD,MNL,114
BJZ,BCN,5
BJZ,MAD,13
BDN,NO,0
BDD,HID,6
BDD,KUG,40
BDD,UBB,14
BDD,SYU,0
BFX,DLA,2
BFX,NSI,7
BGX,POA,3
BGW,EVN,4
BGW,SOF,0
BGW,CAI,0
BGW,DEL,3
BGW,MHD,10
BGW,IKA,7
BGW,NJF,16
BGW,BSR,15
BGW,EBL,21
BGW,KIK,6
BGW,ISU,8
BGW,LIN,0
BGW,AMM,29
BGW,BEY,0
BGW,KHI,3
BGW,DOH,21
BGW,VKO,2
BGW,DMM,2
BGW,JED,3
BGW,MED,26
BGW,DAM,22
BGW,ESB,5
BGW,AYT,5
BGW,IST,32
BGW,SAW,29
BGW,SZF,3
BGW,DXB,28
BGW,SHJ,16
BGL,NO,0
BAG,CEB,4
BHV,KHI,2
BHI,AEP,25
BHI,MDQ,3
BHI,REL,4
BSC,EOH,13
BJR,ADD,119
BAH,GYD,3
BAH,DAC,11
BAH,PVG,2
BAH,SZX,1
BAH,LCA,2
BAH,CAI,24
BAH,SSH,3
BAH,ADD,1
BAH,CDG,8
BAH,FRA,8
BAH,LEJ,1
BAH,ATH,4
BAH,JMK,2
BAH,HKG,4
BAH,BLR,9
BAH,MAA,11
BAH,COK,11
BAH,DEL,32
BAH,GOI,5
BAH,HYD,11
BAH,CNN,1
BAH,CCJ,14
BAH,IXE,1
BAH,BOM,24
BAH,TRV,12
BAH,TLV,6
BAH,MXP,4
BAH,FCO,4
BAH,NSY,1
BAH,AMM,9
BAH,KWI,58
BAH,MLE,4
BAH,CMN,3
BAH,MCT,29
BAH,LYP,3
BAH,ISB,4
BAH,KHI,11
BAH,LHE,6
BAH,MUX,7
BAH,PEW,4
BAH,SKT,5
BAH,MNL,8
BAH,DOH,16
BAH,DME,8
BAH,ELQ,5
BAH,DMM,31
BAH,JED,39
BAH,MED,8
BAH,RUH,52
BAH,SIN,3
BAH,ICN,1
BAH,BKK,9
BAH,AYT,1
BAH,BJV,0
BAH,IST,22
BAH,SAW,13
BAH,TZX,3
BAH,AUH,51
BAH,DXB,124
BAH,RKT,1
BAH,SHJ,24
BAH,LHR,24
BAH,MAN,5
BAH,SGN,1
BAY,BVA,2
BAY,OTP,8
BAY,AYT,2
BGE,NO,0
BSJ,NO,0
BJW,KOE,14
BJW,LBJ,8
BKM,BBN,1
BKM,LWY,4
BKE,NO,0
BFL,BOI,1
BFL,BUR,1
BFL,DFW,16
BFL,DEN,8
BFL,FAT,1
BFL,LAS,1
BFL,ONT,2
BFL,PHX,14
BFL,SFO,16
BLB,BAQ,2
BLB,BOG,8
BLB,CLO,5
BLB,CTG,4
BLB,MDE,11
BLB,SJO,4
BLB,HAV,2
BLB,SDQ,2
BLB,UIO,4
BPN,BDO,6
BPN,BDJ,40
BPN,DPS,21
BPN,CGK,132
BPN,BEJ,60
BPN,UPG,40
BPN,LNU,8
BPN,MJU,4
BPN,PKY,8
BPN,PLW,19
BPN,SRG,8
BPN,SUB,89
BPN,TJS,8
BPN,TRK,18
BPN,YIA,32
BPN,KUL,3
BPN,SIN,4
BXH,ALA,0
BXH,NQZ,0
BBL,BNE,1
BBL,MOO,3
BNK,MEL,6
BNK,NTL,6
BNK,SYD,53
BBA,PMC,16
BBA,PUQ,1
BBA,SCL,14
BBA,ZCO,4
BWI,AUA,2
BWI,NAS,2
BWI,YYZ,23
BWI,GCM,1
BWI,LIR,2
BWI,SJO,1
BWI,PUJ,10
BWI,FRA,2
BWI,RMS,1
BWI,KEF,16
BWI,MBJ,18
BWI,CUN,41
BWI,SJU,40
BWI,PLS,1
BWI,LHR,4
BWI,ALB,36
BWI,ABQ,1
BWI,AVL,2
BWI,ATL,156
BWI,AUG,1
BWI,AUS,38
BWI,MTN,1
BWI,BHM,8
BWI,BOS,93
BWI,BUF,37
BWI,CHS,25
BWI,CLT,61
BWI,MDW,39
BWI,ORD,71
BWI,CVG,23
BWI,CLE,22
BWI,CTH,1
BWI,CMH,24
BWI,LCK,1
BWI,DFW,36
BWI,DAL,39
BWI,DEN,64
BWI,VPS,9
BWI,DTW,40
BWI,FLL,93
BWI,GAI,1
BWI,GRR,9
BWI,GSP,8
BWI,IAH,23
BWI,HOU,30
BWI,IND,24
BWI,ISP,29
BWI,JAN,8
BWI,JAX,32
BWI,MKC,1
BWI,MCI,17
BWI,LAS,29
BWI,LAX,33
BWI,SDF,19
BWI,MCN,16
BWI,MHT,36
BWI,MEM,3
BWI,MIA,46
BWI,MKE,23
BWI,MSP,40
BWI,NUQ,1
BWI,MYR,25
BWI,BNA,40
BWI,HVN,2
BWI,MSY,23
BWI,JFK,16
BWI,EWR,2
BWI,ORF,31
BWI,OCE,1
BWI,MCO,118
BWI,ECP,2
BWI,PHX,25
BWI,PIT,23
BWI,PWM,31
BWI,PTW,6
BWI,PVD,37
BWI,RDU,43
BWI,ROC,22
BWI,SLC,9
BWI,SAT,23
BWI,SKF,1
BWI,SAN,15
BWI,SFO,16
BWI,SRQ,32
BWI,SAV,18
BWI,SEA,8
BWI,RSW,40
BWI,STL,25
BWI,SYR,23
BWI,TPA,74
BWI,IAD,1
BWI,PBI,32
BWI,HPN,1
BWI,ILM,3
BWI,BDL,35
BWI,ORH,2
BMR,NO,0
BXR,THR,6
BKO,ALG,4
BKO,COO,3
BKO,OUA,9
BKO,ABJ,0
BKO,ADD,8
BKO,CDG,3
BKO,LBV,2
BKO,CKY,16
BKO,GAQ,2
BKO,KYS,3
BKO,TOM,2
BKO,NKC,3
BKO,CMN,10
BKO,MED,19
BKO,DSS,27
BKO,LFW,8
BKO,TUN,3
BKO,IST,6
BPC,NO,0
BTJ,CGK,31
BTJ,KNO,30
BTJ,KUL,11
BTJ,PEN,8
BND,AEU,3
BND,AWZ,2
BND,IFN,1
BND,KIH,2
BND,MHD,8
BND,RAS,3
BND,SRY,5
BND,SYZ,8
BND,TBZ,3
BND,THR,55
BND,AZD,1
BND,DOH,1
BND,JED,2
BND,DXB,9
BDH,SYZ,4
BDO,BPN,6
BDO,BDJ,3
BDO,BTH,2
BDO,DPS,24
BDO,HLP,3
BDO,UPG,2
BDO,KNO,6
BDO,PLM,3
BDO,PKU,3
BDO,SUB,3
BDO,JOG,11
BKK,MEL,19
BKK,SYD,19
BKK,VIE,13
BKK,BAH,9
BKK,DAC,31
BKK,PBH,4
BKK,BWN,5
BKK,PNH,103
BKK,REP,24
BKK,PEK,24
BKK,CSX,1
BKK,CZX,4
BKK,CTU,2
BKK,TFU,12
BKK,CKG,4
BKK,DYG,7
BKK,FOC,0
BKK,CAN,47
BKK,HAK,3
BKK,HGH,8
BKK,KMG,26
BKK,NNG,18
BKK,NGB,8
BKK,TAO,5
BKK,PVG,63
BKK,SZX,35
BKK,SJW,8
BKK,WUH,8
BKK,XIY,8
BKK,XMN,15
BKK,XUZ,1
BKK,CGO,13
BKK,CPH,8
BKK,CAI,5
BKK,ADD,8
BKK,HEL,8
BKK,CDG,11
BKK,FRA,16
BKK,MUC,16
BKK,HKG,160
BKK,AMD,8
BKK,BLR,16
BKK,BBI,3
BKK,MAA,8
BKK,DEL,57
BKK,HYD,8
BKK,CCU,30
BKK,BOM,36
BKK,IXB,2
BKK,DPS,8
BKK,CGK,27
BKK,IKA,2
BKK,TLV,6
BKK,FUK,15
BKK,NGO,7
BKK,OKA,3
BKK,KIX,35
BKK,HND,48
BKK,NRT,73
BKK,AMM,3
BKK,ALA,3
BKK,KWI,8
BKK,LPQ,9
BKK,VTE,28
BKK,LUX,4
BKK,MFM,10
BKK,KUL,64
BKK,PEN,9
BKK,UBN,1
BKK,MDL,8
BKK,RGN,69
BKK,KTM,12
BKK,AMS,11
BKK,MCT,20
BKK,ISB,5
BKK,KHI,5
BKK,LHE,5
BKK,CRK,8
BKK,CEB,2
BKK,MNL,52
BKK,DOH,34
BKK,RUN,2
BKK,IKT,3
BKK,SVO,4
BKK,JED,8
BKK,RUH,9
BKK,SIN,150
BKK,PUS,18
BKK,TAE,8
BKK,ICN,106
BKK,CMB,9
BKK,ARN,8
BKK,ZRH,14
BKK,KHH,14
BKK,TPE,106
BKK,DMK,1
BKK,CNX,156
BKK,CEI,47
BKK,HDY,53
BKK,KKC,60
BKK,USM,156
BKK,KBV,56
BKK,LPT,16
BKK,NAW,8
BKK,HKT,195
BKK,THS,16
BKK,URT,24
BKK,TDX,16
BKK,UBP,32
BKK,UTH,56
BKK,IST,17
BKK,AUH,12
BKK,DXB,32
BKK,DWC,1
BKK,LHR,24
BKK,DAD,24
BKK,HAN,88
BKK,SGN,97
BKK,PQC,5
BGR,YHZ,1
BGR,AVN,1
BGR,CLT,8
BGR,ORD,17
BGR,BJC,1
BGR,SDF,1
BGR,MIA,2
BGR,JFK,8
BGR,LGA,24
BGR,EWR,24
BGR,SFB,4
BGR,PHL,24
BGR,PWM,2
BGR,PIE,3
BGR,TEB,1
BGR,IAD,1
BGR,DCA,24
BGR,ORH,1
BGF,DLA,12
BGF,NSI,4
BGF,NBO,2
BGF,EBB,2
BNX,VIE,3
BNX,CRL,2
BNX,SOF,1
BNX,HRG,2
BNX,MLH,1
BNX,BSL,1
BNX,BER,2
BNX,DTM,4
BNX,HAM,2
BNX,FMM,8
BNX,NUE,2
BNX,TIV,4
BNX,BEG,2
BNX,GOT,2
BNX,ARN,2
BNX,NYO,2
BNX,MIR,4
BDJ,BPN,40
BDJ,BDO,3
BDJ,BTW,12
BDJ,CGK,97
BDJ,KBU,8
BDJ,HMS,8
BDJ,PDG,1
BDJ,SRG,16
BDJ,SUB,65
BDJ,YIA,16
BJL,SID,2
BJL,NKC,3
BJL,CMN,6
BJL,LOS,3
BJL,DSS,13
BJL,FNA,13
BJL,BCN,2
BJL,IST,1
BWU,NO,0
BSD,PEK,8
BSD,CSX,8
BSD,TFU,8
BSD,CKG,3
BSD,KMG,54
BSD,NKG,4
BAV,PEK,8
BAV,CSX,8
BAV,TFU,13
BAV,CIF,21
BAV,CKG,16
BAV,DLC,5
BAV,ERL,5
BAV,KWE,5
BAV,HLD,8
BAV,HDG,1
BAV,HGH,5
BAV,KMG,3
BAV,LHW,5
BAV,KHN,2
BAV,NKG,8
BAV,TAO,5
BAV,PVG,15
BAV,SHE,8
BAV,SJW,8
BAV,TYN,21
BAV,TSN,8
BAV,WUH,6
BAV,XIY,23
BAV,XIL,6
BAV,CGO,21
BHB,BOS,24
BHB,ACK,1
BHB,ILG,1
BRX,NO,0
BCI,LRE,3
BCN,TIA,8
BCN,ALG,7
BCN,EZE,6
BCN,VIE,42
BCN,GYD,2
BCN,BRU,47
BCN,CRL,13
BCN,GRU,5
BCN,SOF,13
BCN,YYC,4
BCN,YUL,9
BCN,YYZ,11
BCN,SID,1
BCN,SCL,3
BCN,PEK,3
BCN,BOG,10
BCN,DBV,3
BCN,SPU,2
BCN,ZAG,4
BCN,PRG,22
BCN,BLL,4
BCN,CPH,33
BCN,CAI,11
BCN,TLL,2
BCN,HEL,12
BCN,BSL,20
BCN,BOD,11
BCN,LIL,2
BCN,LYS,17
BCN,MRS,10
BCN,NTE,19
BCN,NCE,21
BCN,BVA,9
BCN,CDG,72
BCN,ORY,63
BCN,PIS,2
BCN,SXB,2
BCN,TLS,1
BCN,BJL,3
BCN,KUT,2
BCN,BER,33
BCN,CGN,25
BCN,DUS,26
BCN,FRA,57
BCN,HHN,2
BCN,HAM,21
BCN,HAJ,7
BCN,MUC,54
BCN,NUE,6
BCN,STR,27
BCN,ATH,25
BCN,CFU,2
BCN,JTR,2
BCN,SKG,2
BCN,BUD,20
BCN,KEF,9
BCN,DUB,43
BCN,TLV,34
BCN,AHO,3
BCN,BRI,7
BCN,BLQ,31
BCN,BDS,2
BCN,CAG,6
BCN,CTA,8
BCN,FLR,24
BCN,GOA,2
BCN,BGY,23
BCN,LIN,1
BCN,MXP,71
BCN,NAP,30
BCN,OLB,4
BCN,PMO,8
BCN,PEG,2
BCN,RMI,1
BCN,FCO,102
BCN,TRS,2
BCN,TRN,12
BCN,VCE,34
BCN,VRN,2
BCN,AMM,5
BCN,RIX,8
BCN,BEY,1
BCN,VNO,6
BCN,LUX,14
