Departure,Arrival,Number of flights
CAK,YHM,1
CAK,ACY,1
CAK,BED,1
CAK,TRI,1
CAK,BOS,1
CAK,BQK,1
CAK,CHS,8
CAK,CLT,31
CAK,ORD,22
CAK,CGF,1
CAK,FLL,2
CAK,TYQ,1
CAK,LAS,3
CAK,MMU,1
CAK,MYR,2
CAK,APF,1
CAK,BNA,2
CAK,ORF,2
CAK,MCO,5
CAK,SFB,2
CAK,PGD,3
CAK,SDM,1
CAK,SRQ,3
CAK,SAV,3
CAK,SUX,1
CAK,PIE,2
CAK,SVH,1
CAK,TPA,4
CAK,TEB,1
CAK,TUL,1
CAK,DCA,8
CAK,FOK,2
CAK,HPN,1
CAK,ZZV,1
CRK,SZX,1
CRK,HKG,16
CRK,NRT,4
CRK,MFM,1
CRK,BCD,4
CRK,USU,3
CRK,CGY,3
CRK,MPH,22
CRK,CEB,33
CRK,DVO,8
CRK,ENI,3
CRK,GES,3
CRK,ILO,5
CRK,DOH,8
CRK,SIN,18
CRK,PUS,7
CRK,ICN,31
CRK,TPE,12
CRK,BKK,8
CRK,DXB,8
CBH,ALG,7
CBH,CZL,1
CBH,ORN,4
CBH,TIN,2
CNF,AJU,1
CNF,AAX,6
CNF,BRA,6
CNF,BEL,19
CNF,BSB,77
CNF,CFB,6
CNF,CPV,2
CNF,VCP,68
CNF,CKS,6
CNF,CGB,10
CNF,CWB,12
CNF,FLN,5
CNF,FOR,9
CNF,GYN,24
CNF,GVR,12
CNF,GNM,6
CNF,IOS,9
CNF,IMP,5
CNF,IPN,25
CNF,JJD,1
CNF,JPA,1
CNF,IZA,3
CNF,TFL,3
CNF,LEC,3
CNF,MCZ,5
CNF,MAB,5
CNF,MOC,26
CNF,NAT,3
CNF,PMW,3
CNF,PYT,3
CNF,PHB,2
CNF,POJ,3
CNF,POA,10
CNF,BPS,23
CNF,REC,31
CNF,SDU,89
CNF,SSA,39
CNF,SLZ,8
CNF,CGH,167
CNF,GRU,99
CNF,UBA,7
CNF,UDI,35
CNF,VAG,3
CNF,VDC,6
CNF,VIX,30
CNF,BOG,5
CNF,PTY,8
CNF,LIS,7
CNF,GTP,6
CRL,TIA,8
CRL,ALG,2
CRL,VIE,8
CRL,BNX,2
CRL,SOF,11
CRL,VAR,3
CRL,PUY,3
CRL,RJK,3
CRL,ZAD,3
CRL,ZAG,7
CRL,PFO,2
CRL,PRG,7
CRL,BLL,4
CRL,HEL,2
CRL,AJA,4
CRL,BIA,3
CRL,EGC,3
CRL,BZR,4
CRL,BIQ,2
CRL,BOD,8
CRL,BVE,2
CRL,CCF,5
CRL,FSC,4
CRL,LRH,3
CRL,MRS,14
CRL,NTE,2
CRL,NCE,2
CRL,FNI,7
CRL,PGF,3
CRL,RDZ,2
CRL,LDE,2
CRL,TLS,3
CRL,KUT,2
CRL,ATH,8
CRL,CHQ,3
CRL,CFU,5
CRL,HER,2
CRL,RHO,4
CRL,SKG,3
CRL,BUD,16
CRL,DUB,3
CRL,TLV,5
CRL,AHO,4
CRL,AOI,5
CRL,BRI,10
CRL,BLQ,9
CRL,BDS,6
CRL,CAG,4
CRL,CTA,3
CRL,CUF,1
CRL,GOA,3
CRL,SUF,2
CRL,BGY,19
