Departure,Arrival,Number of flights
DHF,NO,0
DYR,KHV,5
DYR,SVO,3
DYR,OVB,1
DYR,PKC,2
DYR,VVO,2
DIE,TNR,8
DIE,SVB,2
DIE,DZA,2
DIE,RUN,1
DNL,CHA,1
DNL,GPT,1
DNL,ISO,1
DNL,OCF,1
DNL,TPA,1
DBC,PKX,8
DBC,SJW,5
DBC,TSN,8
DMK,DAC,4
DMK,PNH,20
DMK,REP,21
DMK,CSX,16
DMK,TFU,17
DMK,CKG,15
DMK,FOC,2
DMK,CAN,41
DMK,KWE,5
DMK,HAK,1
DMK,HGH,20
DMK,HFE,5
DMK,SWA,8
DMK,TNA,5
DMK,KMG,8
DMK,LHW,1
DMK,KHN,5
DMK,NKG,16
DMK,NNG,5
DMK,NGB,8
DMK,PVG,22
DMK,SZX,24
DMK,TSN,1
DMK,WNZ,3
DMK,WUH,17
DMK,XIY,16
DMK,CGO,2
DMK,HKG,16
DMK,BLR,13
DMK,MAA,8
DMK,COK,7
DMK,HYD,3
DMK,JAI,5
DMK,CCU,8
DMK,LKO,4
DMK,BOM,8
DMK,DPS,32
DMK,CGK,44
DMK,KNO,8
DMK,IKA,1
DMK,FUK,8
DMK,LPQ,8
DMK,VTE,17
DMK,MFM,24
DMK,JHB,8
DMK,KUL,96
DMK,PEN,16
DMK,MLE,8
DMK,MDL,3
DMK,RGN,8
DMK,KTM,3
DMK,ILO,1
DMK,MNL,8
DMK,SIN,53
DMK,CJJ,8
DMK,ICN,8
DMK,TPE,28
DMK,BFV,19
DMK,CNX,160
DMK,CEI,66
DMK,CJM,8
DMK,HDY,121
DMK,KKC,45
DMK,KBV,54
DMK,LOE,12
DMK,MAQ,16
DMK,KOP,24
DMK,NST,80
DMK,NNT,16
DMK,NAW,8
DMK,PHS,30
DMK,HKT,163
DMK,UNN,8
DMK,ROI,22
DMK,SNO,29
DMK,URT,60
DMK,TST,40
DMK,UBP,56
DMK,UTH,73
DMK,DAD,24
DMK,HAN,16
DMK,SGN,25
DMK,CXR,4
DNZ,IKA,6
DNZ,JED,1
DNZ,IST,24
DNZ,SAW,13
DCM,ORY,13
DCM,TLS,1
DPA,YHM,1
DPA,CIA,1
DPA,BLM,1
DPA,MTN,1
DPA,MDW,1
DPA,CLE,1
DPA,FLL,1
DPA,GRR,1
DPA,QQQ,1
DPA,MKC,1
DPA,JCI,6
DPA,ENW,1
DPA,LWC,1
DPA,MMU,2
DPA,QQN,1
DPA,RAP,1
DPA,RST,1
DPA,STS,1
DPA,HAI,1
DPA,VPZ,1
DPA,HPN,1
DPA,WGO,1
DPA,ISW,1
DRK,SJO,0
DCN,NO,0
DLI,SJW,0
DLI,ICN,8
DLI,VCA,4
DLI,DAD,20
DLI,HPH,8
DLI,HAN,79
DLI,SGN,63
DLI,HUI,5
DLI,VII,12
DAD,REP,5
DAD,HKG,8
DAD,NRT,8
DAD,VTE,2
DAD,MFM,5
DAD,KUL,32
DAD,SIN,16
DAD,PUS,27
DAD,CJJ,8
DAD,TAE,8
DAD,MWX,2
DAD,ICN,116
DAD,KHH,6
DAD,TPE,38
DAD,DMK,24
DAD,BKK,24
DAD,CNX,8
DAD,BMV,10
DAD,VCA,16
DAD,DLI,20
DAD,HPH,20
DAD,HAN,350
DAD,SGN,268
DAD,CXR,10
DAD,PQC,11
DKR,NKC,1
DKR,LPA,1
DSS,ALG,6
DSS,BRU,8
DSS,COO,2
DSS,GRU,1
DSS,OUA,4
DSS,SID,3
DSS,RAI,12
DSS,ABJ,0
DSS,MRS,4
DSS,NTE,2
DSS,CDG,16
DSS,BJL,15
DSS,DUS,1
DSS,ACC,2
DSS,CKY,21
DSS,OXB,7
DSS,BUD,1
DSS,MXP,7
DSS,FCO,0
DSS,VRN,1
DSS,BKO,23
DSS,NKC,20
DSS,CMN,17
DSS,RAK,1
DSS,LOS,1
DSS,LIS,8
DSS,CSK,29
DSS,BCN,4
DSS,LPA,3
DSS,MAD,9
DSS,ZRH,3
DSS,LFW,10
DSS,TUN,1
DSS,IST,12
DSS,DXB,6
DSS,JFK,6
DLM,GYD,4
DLM,BRU,2
DLM,PDV,1
DLM,SOF,1
DLM,BLL,1
DLM,CPH,1
DLM,HEL,1
DLM,BER,2
DLM,CGN,2
DLM,DUS,5
DLM,FRA,6
DLM,HAM,2
DLM,HAJ,2
DLM,MUC,3
DLM,NUE,1
DLM,STR,3
DLM,IKA,4
DLM,DUB,2
DLM,TLV,7
DLM,AMS,2
DLM,KZN,4
DLM,DME,2
DLM,SVO,8
DLM,VKO,29
DLM,AER,7
DLM,LED,4
DLM,UFA,1
DLM,SVX,2
DLM,JED,1
DLM,BTS,3
DLM,ZRH,1
DLM,ESB,30
DLM,AYT,2
DLM,IST,80
DLM,SAW,104
DLM,ADB,2
DLM,ABZ,2
DLM,BFS,5
DLM,BHX,22
DLM,BRS,17
DLM,CWL,3
DLM,EDI,8
DLM,EXT,2
DLM,GLA,15
DLM,LBA,8
DLM,LPL,7
DLM,LGW,57
DLM,LHR,4
DLM,LTN,8
DLM,STN,15
DLM,MAN,60
DLM,NCL,10
DLM,NWI,2
DLM,EMA,12
DBY,NO,0
DHT,NO,0
DLU,PEK,19
DLU,PKX,8
DLU,CSX,16
DLU,CTU,9
DLU,TFU,40
DLU,CKG,28
DLU,FOC,3
DLU,CAN,24
DLU,HGH,8
DLU,JHG,16
DLU,KMG,16
DLU,LXA,3
DLU,LZO,5
DLU,MIG,3
DLU,KHN,10
DLU,NKG,6
DLU,NGB,5
DLU,SHA,8
DLU,PVG,8
DLU,SZX,8
DLU,WUH,13
DLU,WUX,3
DLU,XIY,13
DLU,ZAT,5
DLU,CGO,3
DLU,ZUH,3
DLC,NBS,3
DLC,BAV,5
DLC,PEK,70
DLC,PKX,67
DLC,CSX,32
DLC,CIH,5
DLC,CZX,17
DLC,CTU,16
DLC,TFU,13
DLC,CKG,8
DLC,DQA,5
DLC,DAT,2
DLC,DYG,7
DLC,DOY,8
DLC,EHU,5
DLC,FUG,3
DLC,FOC,0
DLC,KOW,4
DLC,CAN,29
DLC,HLD,8
DLC,HDG,3
DLC,HGH,73
DLC,HFE,35
DLC,HZA,8
DLC,HET,11
DLC,HIA,7
DLC,TXN,6
DLC,JGD,4
DLC,JMU,6
DLC,JSJ,8
DLC,TNA,64
DLC,JNG,7
DLC,JXA,8
DLC,LHW,11
DLC,LYG,8
DLC,LYI,4
DLC,LYA,6
DLC,LLV,8
DLC,MDG,14
DLC,KHN,14
DLC,NKG,82
DLC,NTG,8
DLC,NGB,35
DLC,DSN,8
DLC,PZI,3
DLC,TAO,69
DLC,IQN,2
DLC,NDG,4
DLC,RIZ,12
DLC,SHA,16
DLC,PVG,160
DLC,SZX,32
DLC,SJW,21
DLC,WDS,8
DLC,TYN,26
DLC,TVS,3
DLC,TSN,75
DLC,TNH,4
DLC,WEF,16
DLC,WEH,23
DLC,WNZ,11
DLC,WUH,32
DLC,WHA,7
DLC,WUX,16
DLC,XIY,54
DLC,XMN,7
DLC,XFN,5
DLC,XIL,3
DLC,XUZ,14
DLC,YNZ,8
DLC,YTY,17
DLC,YNJ,4
DLC,YNT,45
DLC,YIH,5
DLC,LDS,4
DLC,YIC,6
DLC,INC,5
DLC,UYN,8
DLC,YCU,8
DLC,ZQZ,5
DLC,CGO,40
DLC,HSN,5
DLC,HKG,3
DLC,FUK,3
DLC,NGO,2
DLC,KIX,12
DLC,NRT,24
DLC,ICN,26
DLC,CXR,0
DAL,SAQ,1
DAL,YVR,1
DAL,LIR,1
DAL,CSL,1
DAL,PVR,1
DAL,SJD,2
DAL,RAK,1
DAL,ABQ,38
DAL,AMA,30
DAL,ASE,3
DAL,FTY,1
DAL,ATL,86
DAL,AUS,81
DAL,AUM,1
DAL,BWI,39
DAL,BGR,1
DAL,BTL,1
DAL,BHM,17
DAL,BOI,2
DAL,BZN,1
DAL,BRO,1
DAL,BUR,8
DAL,CHS,8
DAL,CLT,8
DAL,PWK,2
DAL,MDW,54
DAL,ORD,31
DAL,LUK,1
DAL,CVG,1
DAL,COS,23
DAL,CMH,10
DAL,CRP,6
DAL,DFW,2
DAL,DAL,1
DAL,APA,2
DAL,DEN,83
DAL,BJC,14
DAL,DSM,1
DAL,VPS,8
DAL,YIP,1
DAL,EGE,1
DAL,ELP,43
DAL,EUG,1
DAL,FYV,1
DAL,FLL,19
DAL,AFW,1
DAL,FTW,2
DAL,GLS,1
DAL,GXY,1
DAL,GSP,1
DAL,HRL,2
DAL,HDN,1
DAL,EFD,1
DAL,IAH,35
DAL,QTA,1
DAL,HOU,118
DAL,IND,16
DAL,HKS,5
DAL,JAC,1
DAL,JAX,2
DAL,MKC,2
DAL,MCI,46
DAL,KTN,1
DAL,LAS,77
DAL,LIT,25
DAL,LGB,15
DAL,LAX,61
DAL,SDF,2
DAL,LBB,36
DAL,QQT,0
DAL,MEM,9
DAL,MIA,18
DAL,MAF,39
DAL,MKE,8
DAL,MSP,2
DAL,MLU,1
DAL,MYR,3
DAL,APC,1
DAL,APF,1
DAL,BNA,48
DAL,QQN,0
DAL,QQZ,1
DAL,MSY,54
DAL,LGA,30
DAL,ORF,2
DAL,OAK,16
DAL,PWA,1
DAL,OLV,1
DAL,OMA,9
DAL,ONT,8
DAL,MCO,71
DAL,PGA,1
DAL,ECP,23
DAL,PNS,11
DAL,PHL,1
DAL,PHX,62
DAL,PIT,8
DAL,PBG,2
DAL,PDX,3
DAL,RDU,9
DAL,RNO,1
DAL,RME,1
DAL,RSN,1
DAL,SMF,9
DAL,SLC,17
DAL,SJT,2
DAL,SAT,65
DAL,SAN,30
DAL,SFO,7
DAL,SJC,14
DAL,SNA,9
DAL,SBA,1
DAL,SRQ,1
DAL,SAV,11
DAL,SCF,2
DAL,SEA,8
DAL,RSW,2
DAL,SUS,1
DAL,STL,47
DAL,SGR,1
DAL,TPA,33
DAL,TEX,1
DAL,TEB,4
DAL,TUL,29
DAL,IAD,1
DAL,DCA,37
DAL,WVL,1
DAL,PBI,1
DFW,EZE,5
DFW,AUA,1
DFW,MEL,3
DFW,SYD,8
DFW,NAS,16
DFW,BRU,5
DFW,LGG,3
DFW,BZE,9
DFW,GRU,8
DFW,YYC,16
DFW,YUL,15
DFW,YYZ,42
DFW,YVR,16
DFW,GCM,8
DFW,SCL,3
DFW,PVG,5
DFW,BOG,8
DFW,LIR,8
DFW,SJO,11
DFW,PUJ,10
DFW,SAL,16
DFW,HEL,4
DFW,CDG,22
DFW,FRA,19
DFW,HHN,1
DFW,GUA,11
DFW,XPL,1
DFW,RTB,1
DFW,DUB,8
DFW,FCO,16
DFW,MBJ,20
DFW,HND,16
DFW,NRT,8
DFW,LUX,2
DFW,ACA,1
DFW,AGU,16
DFW,CUN,112
DFW,CUU,16
DFW,CZM,11
DFW,DGO,8
DFW,GDL,37
DFW,HUX,1
DFW,MZT,1
DFW,MID,5
DFW,MEX,44
DFW,MTY,50
DFW,MLM,8
DFW,OAX,8
DFW,PVR,32
DFW,QRO,16
DFW,SJD,38
DFW,SLP,16
DFW,BJX,16
DFW,TRC,8
DFW,ZCL,8
DFW,ZIH,1
DFW,AMS,8
DFW,SJU,25
DFW,DOH,16
DFW,ICN,13
DFW,MAD,16
DFW,IST,8
DFW,PLS,5
DFW,DXB,8
DFW,LHR,40
DFW,ABI,33
DFW,ABQ,49
DFW,AEX,24
DFW,AMA,50
DFW,ANC,31
DFW,AVL,17
DFW,ASE,25
DFW,ATL,156
DFW,ACY,1
