Departure,Arrival,Number of flights
EJH,JED,2
EJH,RUH,2
ELQ,BAH,5
ELQ,SJJ,2
ELQ,CAI,31
ELQ,HMB,3
ELQ,KWI,3
ELQ,MUX,1
ELQ,DOH,8
ELQ,DMM,6
ELQ,JED,32
ELQ,RUH,16
ELQ,DXB,7
ELQ,SHJ,9
EDF,NO,0
ESB,KBL,1
ESB,VIE,11
ESB,GYD,13
ESB,BRU,3
ESB,CDG,2
ESB,ORY,2
ESB,TBS,4
ESB,BER,5
ESB,CGN,7
ESB,DUS,13
ESB,FRA,10
ESB,HAM,1
ESB,HAJ,1
ESB,MUC,8
ESB,STR,5
ESB,IKA,14
ESB,BGW,5
ESB,EBL,8
ESB,KIK,2
ESB,AMM,16
ESB,ALA,5
ESB,NQZ,4
ESB,FRU,5
ESB,AMS,2
ESB,WAW,1
ESB,DOH,8
ESB,OTP,2
ESB,VKO,8
ESB,JED,9
ESB,MED,6
ESB,BEG,7
ESB,BCN,1
ESB,ARN,3
ESB,ZRH,2
ESB,ADA,24
ESB,ADF,8
ESB,AJI,8
ESB,HTY,8
ESB,AYT,67
ESB,BAL,11
ESB,BGG,4
ESB,BJV,35
ESB,CKZ,8
ESB,DLM,31
ESB,DIY,24
ESB,EDO,4
ESB,EZS,16
ESB,ECN,41
ESB,ERC,8
ESB,ERZ,17
ESB,GZT,23
ESB,GZP,6
ESB,IGD,8
ESB,IST,114
ESB,ISL,2
ESB,SAW,98
ESB,ADB,60
ESB,KCM,6
ESB,KSY,8
ESB,MLX,11
ESB,MQM,8
ESB,MSR,8
ESB,OGU,12
ESB,RZV,16
ESB,SZF,7
ESB,GNY,12
ESB,SXZ,2
ESB,NKT,10
ESB,TEQ,2
ESB,TZX,23
ESB,VAN,23
ESB,YKO,5
ESB,AUH,4
ESB,DXB,4
ESB,STN,4
ESB,TAS,1
EDC,ELP,1
EDC,QTA,1
EDC,LBB,1
EDC,SJT,1
EJA,BOG,27
EIS,ANU,14
EIS,DOM,2
EIS,SDQ,12
EIS,SXM,22
EIS,SIG,1
EIS,SJU,98
EIS,SKB,1
EIS,MIA,9
EIS,STT,21
EGO,KGD,2
EGO,VKO,19
EGO,AER,1
EYK,EZV,1
EYK,HMA,4
EYK,KJA,1
EYK,NYA,4
EYK,OVS,1
EYK,SGC,2
EYK,TJM,2
EYK,SVX,2
EGC,CRL,3
EGC,BOD,1
EGC,RTM,5
EGC,OPO,2
EGC,BHX,1
EGC,BOH,3
EGC,BRS,2
EGC,LBA,1
EGC,LPL,2
EGC,LCY,0
EGC,STN,6
EGC,MAN,1
EGC,EMA,4
EGC,SOU,1
EZV,EYK,1
EZV,IRM,2
EZV,HMA,6
EZV,TJM,2
ESH,NO,0
EZE,BHI,2
EZE,CTC,1
EZE,CRD,6
EZE,COR,14
EZE,CNQ,1
EZE,FTE,11
EZE,JUJ,14
EZE,MDZ,17
EZE,NQN,13
EZE,PSS,5
EZE,IGR,25
EZE,PMY,1
EZE,RES,1
EZE,RGL,2
EZE,RGA,3
EZE,ROS,2
EZE,SLA,16
EZE,BRC,37
EZE,UAQ,1
EZE,CPC,2
EZE,SDE,1
EZE,REL,6
EZE,TUC,9
EZE,USH,21
EZE,CBB,1
EZE,VVI,11
EZE,VCP,1
EZE,FLN,3
EZE,MCZ,1
EZE,NAT,1
EZE,GIG,28
EZE,GRU,37
EZE,SCL,58
EZE,BOG,16
EZE,CCC,3
EZE,PUJ,6
EZE,UIO,8
EZE,CDG,8
EZE,FRA,10
EZE,FCO,13
EZE,CUN,3
EZE,MEX,8
EZE,AMS,8
EZE,PTY,32
EZE,ASU,5
EZE,LIM,32
EZE,BCN,6
EZE,MAD,33
EZE,LHR,5
EZE,ATL,8
EZE,DFW,5
EZE,IAH,8
EZE,MIA,27
EZE,JFK,11
EZE,MVD,2
EEA,VCP,5
EGE,BZN,1
EGE,ADS,1
EGE,DFW,16
EGE,APA,2
EGE,DEN,24
EGE,RIL,1
EGE,JAC,1
EGE,MWC,1
EGE,LOT,1
EGE,SNA,1
EGE,BFI,1
EGE,VNY,4
EAA,FAI,5
EGV,PWK,1
ELS,CPT,17
ELS,DUR,6
ELS,JNB,54
ESN,ACY,1
ESN,SSI,1
ESN,WWD,1
ESN,PWK,1
ESN,FRG,0
ESN,SBY,1
ESN,TPA,1
ESN,IAD,1
ESD,BYW,30
ESD,FRD,18
ESD,RCE,15
ESD,BFI,25
EAU,QQK,1
EAU,IFP,0
EAU,FMY,1
EAU,GRR,1
EAU,TYQ,1
EAU,MCI,1
EAU,MKT,1
EAU,MSP,3
EAU,MCO,2
ECH,NO,0
EOI,NO,0
EDE,PHN,1
EDI,VIE,2
EDI,BRU,8
EDI,CRL,8
EDI,SOF,4
EDI,YYC,3
