Departure,Arrival,Number of flights
FTY,GCM,1
FTY,FTY,1
FTY,AGS,1
FTY,AUS,1
FTY,CLT,1
FTY,CAE,1
FTY,COU,1
FTY,DNN,1
FTY,APA,0
FTY,FSM,1
FTY,ISM,1
FTY,TYS,2
FTY,LNS,1
FTY,LOU,1
FTY,OPF,2
FTY,BNA,1
FTY,ONH,1
FTY,ORL,1
FTY,PNS,1
FTY,PTK,1
FTY,RKR,1
FTY,SRQ,1
FTY,SAV,1
FTY,SBN,1
FTY,UST,1
FTY,STP,1
FTY,PIE,1
FTY,IAD,1
FRU,JAA,1
FRU,CAN,3
FRU,PVG,1
FRU,URC,3
FRU,XIY,2
FRU,SSH,1
FRU,HKG,2
FRU,DEL,2
FRU,ALA,11
FRU,NQZ,2
FRU,KWI,13
FRU,OSS,80
FRU,ISB,2
FRU,LHE,2
FRU,GRV,1
FRU,IKT,5
FRU,KZN,5
FRU,KRR,2
FRU,KJA,7
FRU,MCX,3
FRU,DME,18
FRU,SVO,16
FRU,VKO,5
FRU,ZIA,8
FRU,OVB,12
FRU,KUF,1
FRU,AER,2
FRU,LED,8
FRU,SGC,1
FRU,TJM,1
FRU,SVX,9
FRU,ICN,1
FRU,TPE,1
FRU,DYU,1
FRU,ESB,5
FRU,AYT,8
FRU,IST,46
FRU,ISL,1
FRU,SAW,16
FRU,AUH,3
FRU,DXB,8
FRU,SHJ,5
FRU,TAS,6
FCN,FMO,1
FTE,AEP,19
FTE,EZE,8
FTE,COR,2
FTE,USH,5
FIE,LWK,13
FAI,YDA,1
FAI,FRA,0
FAI,MNT,3
FAI,AET,2
FAI,AKP,7
FAI,MRI,1
FAI,ANC,70
FAI,BTI,8
FAI,WBQ,4
FAI,BET,1
FAI,BTT,5
FAI,KBC,3
FAI,CEM,3
FAI,ORD,8
FAI,DJN,5
FAI,EAA,5
FAI,FYU,16
FAI,GBH,1
FAI,GAL,21
FAI,HKB,6
FAI,HSL,6
FAI,KAL,3
FAI,LMA,2
FAI,MSP,8
FAI,PDX,1
FAI,RBY,4
FAI,SEA,48
FAI,TAL,9
FAI,VEE,3
FAI,HPN,1
FFD,NO,0
FRM,NO,0
FAV,PPT,7
FAV,RGI,1
FKQ,MKW,3
FKQ,SOQ,10
FAH,NO,0
FAR,ABR,1
FAR,BJI,3
FAR,BIS,7
FAR,ORD,31
FAR,DFW,16
FAR,DEN,35
FAR,DVL,1
FAR,DIK,3
FAR,GRB,0
FAR,LAS,2
FAR,SDF,2
FAR,MSN,2
FAR,MEM,3
FAR,QQA,1
FAR,FCM,1
FAR,MSP,43
FAR,MOT,5
FAR,BNA,4
FAR,SFB,2
FAR,AZA,3
FAR,PHX,1
FAR,ROX,0
FAR,FSD,1
FAR,GEG,0
FAR,STP,1
FAR,TEX,1
