Departure,Arrival,Number of flights
GGB,CGB,3
GGF,BEL,4
GDR,NO,0
GYL,PER,1
GUW,SSH,3
GUW,KUT,3
GUW,SCO,16
GUW,AKX,10
GUW,ALA,28
GUW,NQZ,27
GUW,URA,4
GUW,CIT,14
GUW,DMB,2
GUW,AMS,5
GUW,SVO,3
GUW,AYT,2
GUW,IST,6
GYD,VIE,5
GYD,NAJ,5
GYD,BAH,1
GYD,DAC,1
GYD,MSQ,5
GYD,PVG,19
GYD,URC,3
GYD,CGO,5
GYD,PRG,2
GYD,SSH,2
GYD,CDG,2
GYD,BUS,2
GYD,TBS,36
GYD,BER,2
GYD,FRA,5
GYD,HHN,18
GYD,HKG,10
GYD,BUD,3
GYD,DEL,4
GYD,BOM,1
GYD,IKA,2
GYD,BGW,1
GYD,TLV,14
GYD,MXP,10
GYD,FCO,2
GYD,KIX,1
GYD,NRT,2
GYD,SCO,10
GYD,AKX,5
GYD,ALA,7
GYD,NQZ,4
GYD,KWI,14
GYD,FRU,2
GYD,RIX,2
GYD,LUX,7
GYD,KIV,1
GYD,TIV,1
GYD,AMS,8
GYD,LHE,2
GYD,WAW,5
GYD,DOH,7
GYD,ASF,5
GYD,GRV,2
GYD,KZN,7
GYD,KJA,1
GYD,MCX,2
GYD,MRV,9
GYD,DME,20
GYD,SVO,24
GYD,VKO,21
GYD,ZIA,2
GYD,OVB,5
GYD,PEE,1
GYD,KUF,6
GYD,AER,6
GYD,LED,11
GYD,SGC,4
GYD,TJM,3
GYD,UFA,6
GYD,VOG,3
GYD,SVX,5
GYD,DMM,4
GYD,JED,6
GYD,MED,3
GYD,RUH,8
GYD,BEG,1
GYD,SIN,2
GYD,ICN,2
GYD,BCN,2
GYD,GVA,1
GYD,DYU,2
GYD,BKK,1
GYD,ESB,12
GYD,AYT,13
GYD,BJV,1
GYD,DLM,3
GYD,IST,51
GYD,SAW,27
GYD,ADB,8
GYD,TZX,2
GYD,AUH,9
GYD,DXB,24
GYD,DWC,4
GYD,SHJ,11
GYD,LHR,3
GYD,EMA,3
GYD,ORD,4
GYD,FEG,1
GYD,SKD,1
GYD,TAS,10
GYD,HAN,2
GIC,HID,10
GIC,SBR,20
GGH,NO,0
GBZ,NO,0
GDV,BIL,17
GDV,SDY,2
GAE,TUN,2
GBE,FRW,6
GBE,MUB,8
GBE,ADD,9
GBE,CPT,4
GBE,JNB,56
GBE,HRE,2
GCH,THR,2
GAD,CRX,1
GNV,ATL,36
GNV,BCT,1
GNV,CLT,29
GNV,MDW,1
GNV,DFW,8
GNV,DAB,1
GNV,VQQ,1
GNV,TYS,1
GNV,MIA,8
GNV,MOB,1
GNV,ORL,1
GNV,TPA,5
GNV,VNY,1
GVL,GVL,1
GVL,LWB,1
GVL,MMU,1
GLE,OSH,0
GAI,BED,1
GAI,HGR,1
GAI,OCE,1
GAI,TEB,1
GPS,GYE,44
GPS,UIO,9
GLK,JIB,1
GLK,NBO,3
GLK,GGR,2
GLK,MGQ,5
GAL,FAI,16
GAL,HSL,2
GAL,KAL,4
GAL,NUL,7
GAL,RBY,9
GEV,AJR,13
GEV,KRN,2
GEV,UME,1
GUP,ABQ,1
GUP,AZA,1
GUP,PHX,11
GLS,LIR,1
GLS,MAF,1
GMB,ADD,20
GAM,OME,18
GAM,SVA,7
GAN,KDM,8
GAN,GKK,12
GAN,MLE,24
GAN,CMB,2
GNJ,DME,3
GNJ,SVO,1
GNJ,VKO,9
GNJ,IST,1
GNJ,SAW,2
GAQ,BKO,2
GAT,NO,0
GCK,XNA,1
GCK,DFW,16
GCK,MKC,1
GCK,ICT,3
GAS,WIL,7
GOU,DLA,5
GOU,NSI,4
GGR,ADD,6
GGR,NBO,2
GGR,JED,1
GGR,BSA,3
GGR,GLK,1
GGR,HGA,3
GGR,MGQ,11
GYY,BMG,1
GYY,TYS,1
GYY,LWM,1
GYY,SDF,2
GYY,OPF,1
GYY,APF,1
GYY,QQN,1
GYY,PHL,1
GYY,PSM,1
GYY,TVC,1
GYY,INT,1
GZG,TFU,8
GVX,NO,0
GAY,DEL,8
GAY,CCU,8
GAY,JED,4
GAY,RKT,1
GLR,GRR,2
GZT,BSL,1
GZT,BER,2
GZT,DUS,4
GZT,FRA,2
GZT,HAJ,2
GZT,STR,2
GZT,JED,18
GZT,MED,1
GZT,ZRH,1
GZT,ESB,22
GZT,AYT,6
GZT,CKZ,1
GZT,ECN,14
GZT,IST,72
GZT,SAW,36
GZT,ADB,12
GZT,TZX,2
GZP,BLL,1
GZP,CPH,2
GZP,HEL,6
GZP,AMS,2
GZP,OSL,3
GZP,VKO,1
GZP,ARN,2
GZP,ESB,5
GZP,IST,24
GZP,SAW,8
GDN,TIA,0
GDN,CRL,1
GDN,BOJ,5
GDN,SPU,1
GDN,ZAD,2
GDN,LCA,2
GDN,PFO,3
GDN,PRG,3
GDN,AAR,3
