Departure,Arrival,Number of flights
HAY,BOG,3
HBE,BAH,3
HBE,CAI,2
HBE,HRG,2
HBE,SSH,3
HBE,ATH,2
HBE,BGY,1
HBE,MXP,2
HBE,FCO,3
HBE,AMM,8
HBE,KWI,27
HBE,BEN,11
HBE,MRA,3
HBE,MJI,6
HBE,CMN,2
HBE,MCT,3
HBE,DOH,8
HBE,DMM,6
HBE,JED,35
HBE,MED,7
HBE,RUH,15
HBE,IST,10
HBE,AUH,8
HBE,DXB,12
HBE,SHJ,14
HTY,ESB,8
HTY,IST,46
HTY,SAW,15
HOE,VTE,5
HPY,SJD,1
HCZ,BHY,3
HCZ,PKX,8
HCZ,TFU,5
HCZ,CKG,3
HCZ,HAK,5
HCZ,KMG,5
HCZ,LJG,5
HCZ,KHN,2
HCZ,NKG,5
HCZ,NGB,5
HCZ,JJN,5
HCZ,PVG,3
HCZ,WNZ,3
HCZ,XIY,5
HTA,BQS,2
HTA,IKT,12
HTA,KHV,6
HTA,KJA,4
HTA,DME,24
HTA,OVB,16
HTA,VVO,4
HTA,SVX,8
HTA,UUS,2
HXD,XNN,12
HZP,YYC,0
HZP,YEG,0
HHN,TIA,3
HHN,GYD,18
HHN,LGG,0
HHN,TZL,4
HHN,SOF,2
HHN,VAR,2
HHN,ZAD,2
HHN,ZAG,3
HHN,KUT,2
HHN,CGN,1
HHN,DUS,1
HHN,FRA,1
HHN,HHN,1
HHN,WIE,1
HHN,CHQ,2
HHN,CFU,2
HHN,SKG,2
HHN,DUB,5
HHN,KIR,4
HHN,BRI,3
HHN,CAG,4
HHN,CTA,4
HHN,BGY,3
HHN,PMO,2
HHN,TPS,2
HHN,TSF,2
HHN,VNO,3
HHN,KIV,2
HHN,FEZ,3
HHN,RAK,1
HHN,NDR,2
HHN,SKP,3
HHN,FAO,3
HHN,OPO,3
HHN,CLJ,2
HHN,TSR,3
HHN,INI,2
HHN,ALC,2
HHN,BCN,2
HHN,GRO,2
HHN,IBZ,2
HHN,AGP,2
HHN,PMI,13
HHN,SVQ,2
HHN,IST,1
HHN,STN,9
HHN,RFD,1
HHN,GSP,1
HAS,CAI,7
HAS,KWI,3
HAS,DMM,4
HAS,JED,16
HAS,RUH,38
HAS,DXB,3
