Departure,Arrival,Number of flights
IXA,BLR,8
IXA,DEL,8
IXA,DIB,4
IXA,GAU,21
IXA,IMF,8
IXA,CCU,73
IXA,SHL,4
IXD,BLR,8
IXD,BHO,5
IXD,BBI,8
IXD,PAB,4
IXD,DED,12
IXD,DEL,16
IXD,IDR,8
IXD,LKO,8
IXD,BOM,8
IXD,PNQ,3
IXD,RPR,8
IUP,MAO,3
IXU,BLR,3
IXU,DEL,16
IXU,HYD,16
IXU,BOM,16
IXU,JED,4
IXU,RKT,1
IXG,AMD,7
IXG,BLR,24
IXG,HYD,8
IXG,IDR,4
IXG,JAI,4
IXG,JDH,4
IXG,BOM,8
IXG,NAG,3
IXG,STV,4
IXG,TIR,8
IXX,BLR,6
IFP,ABQ,1
IFP,CLE,1
IFP,DTW,1
IFP,ELP,1
IFP,GRI,1
IFP,IAH,1
IFP,GGG,0
IFP,BNA,1
IFP,OAK,1
IFP,PHL,1
IFP,SEA,1
IXC,AMD,20
IXC,BLR,22
IXC,MAA,8
IXC,DEL,66
IXC,DHM,7
IXC,GOI,8
IXC,HYD,16
IXC,IDR,5
IXC,JAI,23
IXC,CCU,8
IXC,KUU,7
IXC,IXL,5
IXC,LKO,5
IXC,BOM,77
IXC,PAT,3
IXC,PNQ,8
IXC,SXR,29
IXC,UDR,1
IXC,DXB,8
IXC,SHJ,3
IAO,CEB,40
IAO,DVO,3
IAO,MNL,34
IGU,VCP,22
IGU,CWB,19
IGU,FLN,3
IGU,POA,7
IGU,GIG,11
IGU,CGH,19
IGU,GRU,44
IGU,SCL,2
IGU,GTP,6
ITO,HNL,182
ITO,OGG,39
IAH,EZE,8
IAH,AUA,2
IAH,NAS,16
IAH,BRU,1
IAH,LGG,2
IAH,BZE,18
IAH,GIG,8
IAH,GRU,8
IAH,YYC,29
IAH,YUL,16
IAH,YYZ,33
IAH,YVR,24
IAH,GCM,9
IAH,SCL,8
IAH,BOG,16
IAH,LIR,18
IAH,SJO,27
IAH,HAV,8
IAH,PUJ,9
IAH,UIO,8
IAH,SAL,45
IAH,CDG,8
IAH,FRA,17
IAH,HHN,1
IAH,MUC,8
IAH,GUA,27
IAH,XPL,11
IAH,RTB,8
IAH,SAP,21
IAH,MBJ,10
IAH,HND,8
IAH,NRT,8
IAH,LUX,3
IAH,ACA,1
IAH,AGU,16
IAH,CUN,87
IAH,CZM,8
IAH,GDL,30
IAH,MID,8
IAH,NLU,8
IAH,MEX,74
IAH,MTY,60
IAH,MLM,8
IAH,OAX,4
IAH,PBC,4
IAH,PVR,11
IAH,QRO,24
IAH,SJD,29
IAH,SLP,16
IAH,BJX,21
IAH,TAM,8
IAH,VER,8
IAH,ZIH,1
IAH,AMS,15
IAH,BON,1
IAH,AKL,7
IAH,MGA,8
IAH,PTY,16
IAH,LIM,8
IAH,SJU,19
IAH,DOH,8
IAH,TPE,8
IAH,POS,8
IAH,IST,13
IAH,PLS,3
IAH,DXB,8
IAH,PIK,2
IAH,LHR,32
IAH,MAN,4
IAH,ABQ,24
IAH,AMA,24
IAH,ANC,16
IAH,ADM,1
IAH,ASE,11
IAH,QQR,1
IAH,ATL,121
IAH,AUS,58
IAH,BWI,24
IAH,BTR,38
IAH,XNA,24
