Departure,Arrival,Number of flights
JEG,JAV,6
JEG,SFJ,7
JAW,REC,1
JTY,ATH,12
JTY,LRS,3
JTC,VCP,8
JTC,GTP,6
JCL,NO,0
JCU,AGP,43
JZI,BDA,2
JZI,MTN,1
JZI,BMI,1
JZI,BCT,2
JZI,BOS,1
JZI,CHS,2
JZI,FFA,1
JZI,GVL,1
JZI,CRG,1
JZI,MGW,1
JZI,IKB,1
JZI,ECP,1
JZI,VRB,1
JZI,INT,1
JKH,ATH,43
JKH,MJT,4
JKH,SMI,4
JKH,SKG,8
JUH,PKX,8
JUH,TFU,4
JUH,DAT,2
JUH,CAN,4
JUH,SWA,4
JUH,JJN,4
JUH,SZX,8
JUH,XIY,8
JUH,XMN,4
JUH,YNZ,1
JUH,HSN,4
JIB,CAI,1
JIB,ADD,12
JIB,DIR,9
JIB,CDG,1
JIB,NBO,1
JIB,MCT,1
JIB,SLL,1
JIB,DOH,4
JIB,JED,3
JIB,BSA,1
JIB,GLK,1
JIB,HGA,10
JIB,MGQ,4
JIB,IST,3
JIB,DXB,3
JIB,RKT,1
JIB,ADE,10
JIB,SAH,2
JPX,BVY,2
JPX,JZI,1
JPX,ELM,1
JPX,FLL,1
JPX,HOU,1
JPX,ISP,1
JPX,PSF,1
JPX,PTK,1
JPX,SRQ,1
JPX,SYR,1
JPX,PBI,1
JAL,NO,0
JHL,NO,0
JIK,ATH,16
JIK,LXS,7
JAV,JEG,7
JAV,SFJ,31
JAV,GOH,2
JAV,NAQ,1
JAV,JQA,2
JAV,JUV,5
JAV,KEF,5
JLR,PAB,5
JLR,DEL,16
JLR,HYD,11
JLR,IDR,8
JLR,BOM,3
JAC,,0
JAC,ATL,8
JAC,BIL,1
JAC,BCT,1
JAC,BOS,1
JAC,BZN,2
JAC,CYS,1
JAC,MDW,1
JAC,ORD,23
JAC,COE,1
JAC,COS,1
JAC,OSU,1
JAC,DFW,19
JAC,APA,3
JAC,DEN,32
JAC,SUN,1
JAC,IAH,2
JAC,LAR,0
JAC,LAS,2
JAC,LAX,16
JAC,MAF,1
JAC,MSP,4
JAC,MRY,1
JAC,EWR,2
JAC,VGT,1
JAC,SLC,25
JAC,SAN,4
JAC,SFO,13
JAC,SJC,2
JAC,STS,1
JAC,SEA,6
JAC,VNY,1
JAN,ATL,66
JAN,BWI,7
JAN,BTR,1
JAN,CLT,27
JAN,CLE,1
JAN,DFW,51
JAN,DSI,1
JAN,FXE,1
JAN,IAH,24
JAN,HOU,23
JAN,SDF,3
JAN,BNA,1
JAN,MSY,2
JAN,MCO,1
JAN,ECP,0
JAN,DCA,8
