Departure,Arrival,Number of flights
LCG,LBG,1
LCG,MXP,2
LCG,BCN,16
LCG,BIO,2
LCG,LPA,2
LCG,MAD,66
LCG,MAH,2
LCG,AGP,2
LCG,VLC,2
LCG,GVA,2
LCG,LGW,5
LAK,YEV,15
LBI,NO,0
LEI,BRU,2
LEI,CRL,3
LEI,PRG,2
LEI,ORY,2
LEI,DUS,1
LEI,DUB,2
LEI,LUX,2
LEI,RTM,3
LEI,BTS,1
LEI,BCN,8
LEI,BIO,2
LEI,MAD,20
LEI,MLN,10
LEI,PMI,4
LEI,SVQ,8
LEI,BHX,4
LEI,LBA,1
LEI,LGW,6
LEI,STN,3
LEI,MAN,8
LTI,NO,0
LEU,LIN,1
LEU,MAD,2
LEW,ISP,1
LAQ,MJI,4
LUK,YYZ,1
LUK,YVR,1
LUK,LBG,1
LUK,CAK,1
LUK,ABQ,1
LUK,ATO,1
LUK,PDK,1
LUK,ATL,1
LUK,BWI,1
LUK,BOS,1
LUK,DPA,7
LUK,PWK,1
LUK,MDW,1
LUK,LUK,2
LUK,CTH,1
LUK,COU,1
LUK,CMH,6
LUK,CLU,1
LUK,OSU,1
LUK,YIP,1
LUK,DLH,1
LUK,ERI,1
LUK,FRG,1
LUK,FLL,1
LUK,FTW,1
LUK,GSP,1
LUK,HHH,1
LUK,HOU,1
LUK,MKC,3
LUK,LBE,1
LUK,LBL,1
LUK,LNK,1
LUK,LIT,1
LUK,LOU,2
LUK,MKE,1
LUK,BNA,1
LUK,QQN,1
LUK,GON,1
LUK,ORF,1
LUK,PNE,1
LUK,BBX,1
LUK,AGC,6
LUK,PIT,1
LUK,RHI,1
LUK,SLN,1
LUK,STP,1
LUK,TEB,5
LUK,TVC,1
LUK,VRB,1
LUK,IAD,4
LUK,HPN,3
LCK,GYD,2
LCK,IST,2
LCK,ANC,1
LCK,CHS,2
LCK,ORD,3
LCK,VPS,4
LCK,FLL,2
LCK,FWA,1
LCK,IND,4
LCK,SDF,2
LCK,MEM,6
LCK,MIA,2
LCK,MYR,6
LCK,JFK,4
LCK,EWR,2
LCK,SFB,4
LCK,PKB,1
LCK,PNE,1
LCK,PGD,5
LCK,SRQ,2
LCK,SAV,3
LCK,SEA,1
LCK,PIE,3
LGI,NAS,26
LGI,ZSA,2
LGI,SML,6
LYP,BAH,3
LYP,MCT,1
LYP,KHI,7
LYP,AUH,2
LYP,DXB,18
LYP,SHJ,8
LPA,VIE,4
LPA,BRU,9
LPA,CRL,1
LPA,LGG,3
LPA,OST,4
LPA,SID,1
LPA,PRG,3
LPA,BLL,2
LPA,CPH,7
LPA,BSL,3
LPA,LIL,1
LPA,NTE,1
LPA,CDG,7
LPA,ORY,1
LPA,TLS,1
LPA,BER,6
LPA,BRE,2
LPA,CGN,6
LPA,DRS,1
LPA,DUS,13
LPA,FRA,13
LPA,HAM,5
LPA,HAJ,5
LPA,KSF,1
LPA,LEJ,3
LPA,MUC,8
LPA,FMO,1
LPA,NUE,4
LPA,PAD,1
LPA,SCN,1
LPA,STR,6
LPA,BUD,1
LPA,KEF,2
LPA,ORK,1
LPA,DUB,11
LPA,BLQ,3
LPA,FLR,1
LPA,BGY,3
LPA,MXP,4
LPA,FCO,2
LPA,VCE,1
LPA,VRN,1
LPA,LUX,3
LPA,NDB,8
LPA,NKC,8
LPA,AGA,1
LPA,CMN,3
LPA,VIL,2
LPA,EUN,7
LPA,GLN,2
LPA,RAK,4
LPA,AMS,13
LPA,EIN,5
LPA,GRQ,2
LPA,RTM,4
LPA,OSL,9
LPA,KRK,1
LPA,WAW,2
LPA,FNC,3
LPA,LIS,5
LPA,PDL,1
LPA,OPO,2
LPA,DSS,2
LPA,DKR,1
LPA,LCG,2
LPA,ALC,3
LPA,OVD,10
LPA,BCN,21
LPA,BIO,7
LPA,VDE,10
LPA,FUE,144
LPA,GRX,4
LPA,XRY,1
LPA,GMZ,16
LPA,SPC,42
LPA,ACE,168
LPA,MAD,101
LPA,MAH,1
LPA,AGP,17
LPA,RMU,2
LPA,PMI,4
LPA,PNA,4
LPA,EAS,2
LPA,SDR,2
LPA,SCQ,9
LPA,SVQ,16
LPA,TFN,209
LPA,TFS,43
LPA,VLC,5
LPA,VLL,2
LPA,VGO,4
LPA,VIT,1
LPA,ZAZ,3
LPA,GOT,2
LPA,ARN,3
LPA,ZRH,12
LPA,BFS,1
LPA,BHX,11
LPA,BOH,1
LPA,BRS,12
LPA,CWL,1
LPA,EDI,6
LPA,GLA,6
LPA,PIK,2
LPA,LBA,4
LPA,LGW,18
LPA,LTN,6
LPA,STN,15
LPA,MAN,18
LPA,NCL,9
LPA,EMA,4
LWN,NO,0
LUP,HNL,7
LUP,MKK,21
LBD,CEK,2
LBD,IKT,1
LBD,KZN,4
LBD,KJA,4
LBD,MRV,3
LBD,DME,18
LBD,VKO,2
LBD,ZIA,16
LBD,OVB,8
LBD,KUF,3
LBD,AER,1
LBD,LED,8
LBD,SGC,3
LBD,TJM,4
LBD,UFA,1
LBD,SVX,8
LBD,DYU,4
LMT,SQL,0
LBY,AMS,1
LBY,ZRH,1
LCE,GCM,1
LCE,GJA,13
LCE,PEU,6
LCE,RTB,22
LCE,SAP,0
LCE,TGU,13
LSE,ORD,16
LSE,GFK,1
LSE,GRB,1
LSE,MSN,1
LSE,FCM,1
LSE,MSP,1
LSE,ILG,1
LFR,CCS,8
LFR,PMV,1
LGD,BOI,1
LGD,PDX,0
LPB,CIJ,18
LPB,CBB,86
LPB,RBQ,7
LPB,VVI,153
LPB,SRE,12
LPB,TJA,11
LPB,TDD,16
LPB,UYU,12
LPB,SCL,2
LPB,BOG,8
LPB,LIM,6
LAP,CUU,3
LAP,CEN,4
LAP,CUL,11
LAP,GDL,26
LAP,HMO,9
LAP,LTO,2
LAP,LMM,7
LAP,MZT,8
LAP,NLU,4
LAP,MEX,32
LAP,PPE,2
LAP,QRO,0
LAP,TIJ,19
LAP,DAL,1
LAP,SDM,0
LAP,SAN,0
LPG,NO,0
LRH,CRL,3
LRH,LYS,4
LRH,MRS,4
LRH,CDG,0
LRH,ORK,3
LRH,DUB,4
LRH,OPO,4
LRH,LGW,3
LRH,STN,7
LRM,MXP,1
LRM,FCO,1
LRM,SIG,1
LRM,MIA,19
LRM,CCS,5
LSC,ANF,13
LSC,ARI,4
LSC,CJC,17
LSC,CCP,4
LSC,IQQ,8
LSC,SCL,59
LBS,NAN,10
LBS,SUV,27
LBR,CIZ,3
LBU,BKI,33
LBU,KUL,20
LBU,MYY,32
LBU,SGN,2
LBJ,BJW,8
LBJ,DPS,38
LBJ,ENE,8
LBJ,CGK,17
LBJ,KOE,21
LBJ,MOF,8
LBJ,SUB,16
LAH,TTE,7
LCI,PSM,1
LCI,IAD,1
LCI,HPN,2
LYT,NO,0
LAE,HKN,11
LAE,MAS,1
LAE,MAG,7
LAE,HGU,1
LAE,POM,58
LAE,RAB,3
LFT,ATL,23
LFT,CLT,7
LFT,DFW,30
LFT,DSI,1
LFT,HBG,0
LFT,IAH,32
LFT,IWS,1
LFT,LFT,0
LFT,CWF,1
LFT,SDF,2
LFT,MEM,2
LFT,NEW,1
LFT,MSY,1
LFT,PNS,1
LFT,SAA,1
LAF,QTG,1
LAF,IKK,1
LAF,LAF,1
LAF,MCD,1
LAF,APF,1
LAF,SBN,2
LAF,STL,0
LAF,SUE,1
LAJ,NO,0
LOO,ALG,4
LOO,JED,2
LOO,MED,2
LOS,LAD,4
