Departure,Arrival,Number of flights
NGD,NO,0
NCY,AVN,2
NCY,CMF,3
NCY,GNB,1
NCY,TNF,1
NCY,CGN,1
NCY,HAM,1
NCY,LIN,1
NCY,JER,1
NCY,LUX,1
NCY,BIO,1
NQZ,GYD,4
NQZ,MSQ,6
NQZ,BRU,1
NQZ,PEK,1
NQZ,URC,2
NQZ,XIY,2
NQZ,SSH,2
NQZ,NCE,1
NQZ,BUS,2
NQZ,KUT,6
NQZ,TBS,4
NQZ,FRA,12
NQZ,SNN,1
NQZ,KMQ,1
NQZ,NRT,1
NQZ,SCO,22
NQZ,AKX,29
NQZ,ALA,155
NQZ,GUW,27
NQZ,BXH,0
NQZ,KSN,16
NQZ,KZO,13
NQZ,URA,12
NQZ,UKK,20
NQZ,PWQ,6
NQZ,PPK,8
NQZ,PLX,7
NQZ,CIT,57
NQZ,TDK,7
NQZ,DMB,8
NQZ,HSA,12
NQZ,UZR,6
NQZ,USJ,3
NQZ,DZN,8
NQZ,FRU,2
NQZ,LUX,1
NQZ,TGD,4
NQZ,WAW,3
NQZ,DOH,1
NQZ,KZN,2
NQZ,KJA,4
NQZ,SVO,24
NQZ,VKO,8
NQZ,ZIA,2
NQZ,OVB,5
NQZ,OMS,9
NQZ,LED,5
NQZ,SVX,9
NQZ,ESB,4
NQZ,AYT,14
NQZ,IST,28
NQZ,SAW,4
NQZ,AUH,3
NQZ,DXB,18
NQZ,TAS,10
NQZ,CXR,2
NBS,PKX,3
NBS,CGQ,5
NBS,DLC,4
NBS,HRB,1
NBS,PVG,5
NBS,TSN,4
NBS,XIY,1
NAY,NO,0
NRR,CPX,46
NER,IKT,3
NER,KHV,6
NER,KJA,1
NER,DME,5
NER,VKO,2
NER,OVB,11
NER,VVO,1
NER,YKS,2
NLF,MYI,2
NLF,OKR,14
NHD,NO,0
NBE,BRU,6
NBE,CRL,2
NBE,LGG,2
NBE,SOF,4
NBE,VAR,1
NBE,PRG,1
NBE,TLL,1
NBE,NUE,1
NBE,MXP,1
NBE,VRN,1
NBE,LUX,2
NBE,AMS,2
NBE,GDN,1
NBE,KTW,3
NBE,POZ,1
NBE,WAW,1
NBE,GVA,5
NBE,BHX,2
NBE,BRS,3
NBE,CWL,1
NBE,GLA,1
NBE,LGW,8
NBE,LTN,2
NBE,MAN,10
NBE,NCL,2
NBE,EMA,2
NOV,LAD,4
NOC,CGN,3
NOC,BGY,2
NOC,FAO,3
NOC,ALC,2
NOC,GRO,2
NOC,XRY,1
NOC,ACE,1
NOC,AGP,1
NOC,PMI,1
NOC,BHX,4
NOC,BRS,4
NOC,EDI,2
NOC,LPL,9
NOC,LHR,8
NOC,LTN,11
NOC,STN,13
NOC,MAN,4
NOC,EMA,4
NMF,MLE,16
NZH,PEK,4
NZH,PKX,4
NZH,ERL,4
NZH,HRB,4
NZH,HET,18
NZH,UBN,5
NZH,IKT,0
NLU,HAV,5
NLU,SDQ,10
NLU,ACA,10
NLU,CUN,55
NLU,CTM,0
NLU,GDL,33
NLU,HUX,4
NLU,LAP,3
NLU,MID,16
