Departure,Arrival,Number of flights
OVD,CRL,2
OVD,ORY,3
OVD,FRA,4
OVD,MUC,1
OVD,NRN,3
OVD,DUB,2
OVD,BGY,3
OVD,FCO,4
OVD,VCE,2
OVD,AMS,3
OVD,LIS,4
OVD,ALC,9
OVD,BCN,26
OVD,FUE,1
OVD,LPA,10
OVD,GRX,3
OVD,IBZ,3
OVD,ACE,3
OVD,MAD,35
OVD,MAH,4
OVD,AGP,9
OVD,RMU,2
OVD,PMI,8
OVD,SVQ,7
OVD,TFN,7
OVD,TFS,1
OVD,VLC,6
OVD,LGW,5
OVD,STN,3
OGZ,EVN,2
OGZ,KZN,2
OGZ,DME,32
OGZ,SVO,3
OGZ,VKO,3
OGZ,OVB,2
OGZ,PEE,1
OGZ,AER,3
OGZ,LED,3
OGZ,SVX,3
OGZ,AYT,6
OGZ,IST,2
OXB,RAI,2
OXB,ABJ,0
OXB,CKY,1
OXB,CMN,3
OXB,LIS,4
OXB,DSS,6
ODO,IKT,30
OCM,ALH,3
OCM,BQB,6
OCM,GET,8
OCM,PER,24
OLA,EVE,2
OLA,OSL,11
OTP,SZG,1
OTP,VIE,40
OTP,BRU,11
OTP,CRL,19
OTP,SOF,14
OTP,DBV,1
OTP,SPU,3
OTP,ZAD,2
OTP,LCA,5
OTP,PFO,5
OTP,PRG,9
OTP,AAR,3
OTP,BLL,4
OTP,CPH,6
OTP,CAI,4
OTP,BSL,5
OTP,LYS,4
OTP,MRS,5
OTP,NCE,8
OTP,BVA,10
OTP,CDG,42
OTP,SXB,1
OTP,BER,6
OTP,DTM,8
OTP,DUS,4
OTP,FRA,33
OTP,HAM,4
OTP,FMM,2
OTP,MUC,16
OTP,NUE,3
OTP,STR,3
OTP,PVK,1
OTP,ATH,30
OTP,CHQ,4
OTP,CFU,7
OTP,HER,9
OTP,EFL,1
OTP,JMK,3
OTP,RHO,2
OTP,JTR,2
OTP,JSI,2
OTP,SKG,12
OTP,ZTH,2
OTP,BUD,15
OTP,DUB,11
OTP,TLV,42
OTP,AHO,2
OTP,BRI,6
OTP,BLQ,14
OTP,CTA,10
OTP,FLR,1
OTP,GOA,2
OTP,BGY,26
OTP,MXP,5
OTP,NAP,12
OTP,PMO,3
OTP,PEG,2
OTP,PSR,4
OTP,PSA,5
OTP,CIA,13
OTP,FCO,18
OTP,TRN,3
OTP,TSF,18
OTP,AMM,6
OTP,RIX,3
OTP,BEY,6
OTP,VNO,2
OTP,LUX,4
OTP,MLA,6
OTP,KIV,23
OTP,AMS,37
OTP,EIN,8
OTP,TRF,6
OTP,WAW,24
OTP,WRO,1
OTP,LIS,4
OTP,DOH,16
OTP,BAY,8
OTP,CLJ,41
OTP,IAS,30
OTP,OMR,14
OTP,SUJ,3
OTP,SBZ,5
OTP,SCV,18
OTP,TGM,6
OTP,TSR,41
OTP,JED,2
OTP,RUH,2
OTP,BEG,15
OTP,ALC,4
OTP,BCN,14
OTP,CDT,2
OTP,MAD,22
OTP,AGP,6
OTP,PMI,4
OTP,SDR,2
OTP,SVQ,3
OTP,TFS,4
OTP,VLC,6
OTP,ZAZ,3
OTP,MMX,2
OTP,NYO,6
OTP,GVA,3
OTP,LUG,1
OTP,ZRH,16
OTP,ESB,3
OTP,AYT,6
OTP,IST,45
OTP,SAW,6
OTP,AUH,3
OTP,DXB,10
OTP,BHX,10
OTP,BRS,2
OTP,EDI,4
OTP,LBA,5
OTP,LPL,3
OTP,LGW,8
OTP,LHR,24
OTP,LTN,29
OTP,STN,28
OTP,MAN,4
OAL,CGB,3
ORD,AUA,2
ORD,VIE,8
ORD,GYD,5
ORD,NAS,2
ORD,BRU,13
ORD,LGG,7
ORD,GRU,8
ORD,YYC,28
ORD,YHZ,2
ORD,YUL,55
ORD,YOW,16
ORD,YQB,8
ORD,YYZ,136
ORD,YVR,32
ORD,GCM,1
ORD,PEK,6
ORD,NKG,6
ORD,PVG,83
ORD,SZX,5
ORD,LIR,1
ORD,SJO,1
ORD,CPH,8
ORD,PUJ,25
ORD,UIO,1
ORD,ADD,8
ORD,HEL,4
ORD,CDG,29
ORD,FRA,38
ORD,MUC,24
ORD,ATH,8
ORD,GUA,2
ORD,KEF,24
ORD,DEL,9
ORD,DUB,32
ORD,SNN,8
ORD,TLV,4
ORD,MXP,11
ORD,FCO,16
ORD,MBJ,11
ORD,NGO,1
ORD,HND,24
ORD,NRT,15
ORD,AMM,11
ORD,LUX,11
ORD,CUN,56
ORD,GDL,23
ORD,MEX,49
ORD,MTY,12
ORD,MLM,5
ORD,PVR,2
ORD,QRO,1
ORD,SJD,12
ORD,BJX,5
ORD,AMS,21
ORD,AKL,4
ORD,PTY,8
ORD,KRK,5
ORD,WAW,11
ORD,LIS,4
ORD,SJU,25
ORD,DOH,8
ORD,BEG,3
ORD,ICN,10
ORD,BCN,16
ORD,MAD,8
ORD,ARN,6
ORD,ZRH,24
ORD,TPE,15
ORD,IST,17
ORD,PLS,1
ORD,AUH,8
ORD,DXB,8
ORD,EDI,8
ORD,PIK,1
ORD,LHR,64
ORD,STN,2
ORD,EMA,1
ORD,CAK,22
ORD,ALB,39
ORD,ABQ,16
ORD,ABE,16
ORD,ANC,125
ORD,ATW,69
ORD,AVL,33
ORD,ASE,16
ORD,ATL,150
ORD,AUS,75
ORD,AVP,24
ORD,BWI,72
ORD,BGR,17
ORD,XNA,53
ORD,BIL,8
ORD,BHM,31
ORD,BMI,16
ORD,BOI,16
ORD,BOS,142
ORD,BZN,18
ORD,BUF,43
ORD,BTV,22
ORD,BRL,16
ORD,CID,62
ORD,CMI,16
ORD,CHS,29
ORD,CRW,24
ORD,CLT,93
ORD,CHA,22
ORD,PWK,0
ORD,MDW,2
ORD,CVG,73
ORD,CLE,69
ORD,COS,16
ORD,CAE,16
ORD,COU,16
ORD,CMH,63
ORD,LCK,1
ORD,DFW,140
ORD,DAL,31
ORD,DAY,69
ORD,DEC,14
ORD,DEN,146
ORD,DSM,56
ORD,VPS,1
ORD,DTW,106
ORD,DLH,16
ORD,ELP,8
ORD,FAI,8
ORD,SUU,0
ORD,FAR,29
ORD,FNT,40
ORD,FOD,8
ORD,FLL,39
ORD,FWA,47
ORD,AFW,2
ORD,FTW,0
ORD,FAT,8
ORD,GRR,72
ORD,GTF,1
ORD,GRB,64
ORD,GSO,25
ORD,GSP,32
ORD,CMX,16
ORD,MDT,32
ORD,HYS,8
ORD,HHH,2
ORD,HNL,9
ORD,IAH,104
ORD,HOU,0
ORD,HSV,23
ORD,IND,83
ORD,IWD,7
ORD,JAC,24
ORD,JAX,30
ORD,JST,8
ORD,OGG,5
ORD,AZO,16
ORD,FCA,16
ORD,MCI,63
ORD,TYS,48
ORD,KOA,1
ORD,LSE,16
ORD,LAN,16
ORD,LAS,116
ORD,LEX,40
ORD,LNK,24
ORD,LIT,46
ORD,LAX,157
