Departure,Arrival,Number of flights
PGU,GBT,1
PGU,MHD,2
PGU,SYZ,1
PGU,TBZ,1
PGU,THR,15
PDK,MHH,0
PDK,NAS,0
PDK,NMC,0
PDK,ELH,1
PDK,YOW,0
PDK,YQB,0
PDK,LIR,0
PDK,ABE,0
PDK,AVL,0
PDK,PDK,0
PDK,FTY,0
PDK,ATL,0
PDK,AUO,0
PDK,AGS,0
PDK,BTR,1
PDK,BVY,1
PDK,BHM,4
PDK,BQK,1
PDK,SSI,2
PDK,QQY,0
PDK,JZI,0
PDK,CHS,1
PDK,CLT,0
PDK,DPA,0
PDK,PWK,0
PDK,LUK,1
PDK,COS,1
PDK,CAE,0
PDK,CMH,0
PDK,CSG,0
PDK,DSI,0
PDK,YIP,0
PDK,JPX,0
PDK,FLL,0
PDK,FMY,0
PDK,FTW,1
PDK,GVL,0
PDK,GNV,0
PDK,GGE,0
PDK,GMU,1
PDK,GPT,0
PDK,HAO,0
PDK,EFD,1
PDK,HOU,0
PDK,TYQ,0
PDK,ISP,0
PDK,CRG,0
PDK,TYS,0
PDK,LZU,0
PDK,LIT,1
PDK,SDF,0
PDK,MNZ,0
PDK,MEM,0
PDK,TMB,1
PDK,BFM,0
PDK,ACK,1
PDK,BNA,0
PDK,EWN,0
PDK,NEW,0
PDK,LGA,1
PDK,ORL,1
PDK,ECP,1
PDK,PSF,1
PDK,RDU,0
PDK,ROG,0
PDK,SAT,0
PDK,CLD,0
PDK,STS,1
PDK,SRQ,0
PDK,SAV,1
PDK,GKT,0
PDK,SUS,0
PDK,SGF,0
PDK,UST,1
PDK,PIE,0
PDK,SVH,1
PDK,TEB,2
PDK,TTN,0
PDK,VRB,0
PDK,ACT,1
PDK,IAD,2
PDK,PBI,0
PDK,ICT,1
PDK,ILM,0
PDK,WGO,1
PDK,WDR,1
PKX,PNH,4
PKX,AKA,4
PKX,AVA,4
PKX,YIE,2
PKX,DBC,8
PKX,NBS,3
PKX,RLK,8
PKX,BZX,8
PKX,BFJ,4
PKX,YSQ,4
PKX,CGQ,64
PKX,CGD,8
PKX,CSX,103
PKX,CIH,4
PKX,CZX,8
PKX,CTU,101
PKX,TFU,100
PKX,HCZ,8
PKX,JUH,8
PKX,CKG,120
PKX,DLU,8
PKX,DLC,67
PKX,DDG,8
PKX,DQA,21
PKX,DAT,8
PKX,DYG,4
PKX,DOY,8
PKX,ENH,8
PKX,ERL,8
PKX,EHU,4
PKX,FUO,7
PKX,FOC,55
PKX,KOW,8
PKX,CAN,188
PKX,KWL,28
PKX,KWE,81
PKX,HAK,48
PKX,HLD,8
PKX,HGH,144
PKX,HZG,8
PKX,HRB,86
PKX,HFE,30
PKX,HET,8
PKX,HJJ,8
PKX,HYN,8
PKX,HUZ,8
PKX,JGS,4
PKX,JMU,8
PKX,SWA,36
PKX,JIC,4
PKX,JDZ,4
PKX,JHG,16
PKX,SHS,8
PKX,JNG,4
PKX,JXA,8
PKX,KHG,4
PKX,KRL,8
PKX,KMG,111
PKX,LHW,59
PKX,LYG,6
PKX,LJG,16
PKX,LNL,8
PKX,LCX,8
PKX,LYA,8
PKX,LZO,14
PKX,LLV,8
PKX,NZH,4
PKX,MXZ,4
PKX,MIG,8
PKX,KHN,41
PKX,NAO,8
PKX,NKG,28
PKX,NNG,31
PKX,NTG,18
PKX,NNY,4
PKX,NGB,72
PKX,DSN,24
PKX,TAO,4
PKX,IQN,8
PKX,NDG,12
PKX,JJN,20
PKX,JUZ,8
PKX,RIZ,7
PKX,SQJ,8
PKX,SYX,63
PKX,SHA,48
PKX,PVG,85
PKX,SQD,8
PKX,HSC,8
PKX,SHE,23
PKX,SZX,206
PKX,WDS,8
PKX,TYN,4
PKX,TGO,8
PKX,TEN,2
PKX,TLQ,4
PKX,HLH,8
PKX,URC,96
PKX,WXN,4
PKX,WEH,14
PKX,WNZ,43
PKX,WUA,8
PKX,WUH,77
PKX,WHA,8
PKX,WUX,34
PKX,WUZ,4
PKX,XIY,131
PKX,XMN,89
PKX,XFN,8
PKX,XIC,8
PKX,XIL,16
PKX,ACX,4
PKX,XNN,40
PKX,XAI,8
PKX,YNZ,8
PKX,YTY,8
PKX,YNJ,16
PKX,YNT,21
PKX,YBP,8
PKX,YIH,8
PKX,LDS,8
PKX,YIC,4
PKX,INC,42
PKX,YIW,35
PKX,LLF,4
PKX,YYA,4
PKX,UYN,24
PKX,NZL,4
PKX,YZY,4
PKX,ZAT,4
PKX,HSN,8
PKX,ZUH,63
PKX,ZYI,16
PKX,CDG,3
PKX,HKG,24
PKX,NGO,0
