Departure,Arrival,Number of flights
QEA,QEC,0
QXB,LYN,1
QXB,MRS,0
QXB,ALC,1
QYH,NO,0
QEQ,MMX,0
QCA,NO,0
QQK,CLU,0
QQK,DEC,1
QQK,IND,0
QQK,IOW,0
QQK,JVL,0
QQK,TNU,0
QQK,OMA,1
QQK,SFB,0
QQK,SLN,0
QQK,TEB,1
QQK,TUL,0
QYA,LME,1
QYA,LBG,0
QYA,FLR,1
QCG,KRS,0
QCG,TRF,0
QCG,SVG,0
QQG,ABI,0
QQG,AEX,0
QQG,QQG,0
QQG,AUS,1
QQG,BHM,0
QQG,LUK,0
QQG,ADS,0
QQG,DTW,1
QQG,GLE,0
QQG,GTR,0
QQG,DWH,1
QQG,LCH,0
QQG,LIT,1
QQG,MEI,0
QQG,MLU,0
QQG,PWA,0
QQG,SAT,0
QQG,SLG,0
QQG,SUS,0
QQG,STC,0
QQG,SGR,1
QQW,PWT,0
QQW,PAE,0
QQW,BFI,1
QQR,QQR,0
QQR,BBC,0
QQR,BHM,1
QQR,SSI,1
QQR,CHS,0
QQR,DPA,0
QQR,RBD,0
QQR,DAL,0
QQR,APA,1
QQR,DSM,0
QQR,FMY,0
QQR,GNV,1
QQR,HHH,0
QQR,JAN,0
QQR,JAX,1
QQR,AZO,0
QQR,LWC,0
QQR,MYR,0
QQR,BNA,0
QQR,QTP,1
QQR,RDU,0
QQR,GKT,0
QQR,MQY,1
QQR,TPA,0
QQR,TUP,0
QTF,NO,0
QCB,OSR,0
QCB,CGN,1
QCB,PMI,0
QBC,YAA,4
QBC,YVR,8
QTV,NO,0
QYB,NO,0
QIC,NO,0
QYO,NO,0
QCH,NCY,0
QCH,CGN,0
QCH,HHN,0
QYY,NO,0
QHS,RTM,1
QIB,SZG,1
QIB,CEQ,0
QEB,NO,0
QHB,SZG,0
QHB,AMS,0
QHB,BGO,1
QQF,MDT,1
QQF,CRG,0
QQF,IAD,0
QQY,AIK,0
QQY,QQY,0
QQY,JZI,0
QQY,CRW,0
QQY,PWK,1
QQY,CKB,0
QQY,CAE,0
QQY,HHH,1
QQY,TYS,1
QQY,MMU,1
QQY,MOR,0
QQY,RIC,1
QQY,SAV,1
QQY,IAD,0
QQY,PBI,0
QQU,DVN,0
QKC,NO,0
QTC,,0
QTC,BOI,0
QTC,BUR,0
QTC,QTC,0
QTC,MDW,0
QTC,COE,0
QTC,EMT,0
QTC,FAT,0
QTC,WJF,0
QTC,LAS,0
QTC,HSH,0
QTC,LGB,0
QTC,LAX,0
QTC,MMH,0
QTC,MSC,0
QTC,MRY,0
QTC,NUQ,1
QTC,APC,0
QTC,OXR,0
QTC,PTV,0
QTC,PUW,0
QTC,HMT,0
QTC,MHR,0
QTC,SNS,0
QTC,CLD,0
QTC,MYF,0
QTC,SNA,1
QTC,SBA,0
QTC,SMX,0
QTC,SMO,0
QTC,SQA,0
QTC,BFI,0
QTC,TIW,0
QTC,TRM,0
QTC,TOA,0
QTC,TKF,1
QTC,TLR,0
QTC,VNY,1
QTC,WVI,0
QTC,YUM,1
QQC,BED,0
QQC,DBN,0
QQC,GSO,0
QQC,GUF,0
QQC,HSI,0
QQC,MCN,0
QQC,LOT,0
QQC,SRC,0
QQV,DSI,0
QQV,MSY,0
QQV,SHD,0
QCC,TRF,1
QTX,YIP,0
QTX,FXE,0
QTM,NO,0
QQP,YQX,0
QQP,QQP,0
QQP,FFA,0
QQP,LOU,0
QQP,CRE,0
QQI,BLM,0
