Departure,Arrival,Number of flights
ROR,GUM,5
ROR,MFM,3
ROR,YAP,0
ROR,POM,1
ROR,MNL,2
ROR,TPE,2
RAE,JED,5
RAE,RUH,23
RAR,AIT,27
RAR,AKL,17
RAR,HNL,1
RLK,PEK,8
RLK,PKX,8
RLK,TFU,4
RLK,HLD,4
RLK,HET,16
RLK,XIY,8
RLK,XIL,8
RLK,CGO,4
RGS,NO,0
RFD,MUC,1
RFD,ABE,0
RFD,ANC,4
RFD,BWI,1
RFD,CID,1
RFD,CMI,1
RFD,CVG,0
RFD,OSU,1
RFD,DFW,1
RFD,DEN,1
RFD,DTW,1
RFD,EGV,1
RFD,FWA,0
RFD,MDT,0
RFD,IAH,2
RFD,TYQ,0
RFD,MCI,1
RFD,LAN,1
RFD,LRD,1
RFD,LAS,2
RFD,LAX,1
RFD,SDF,1
RFD,MEM,1
RFD,QQA,0
RFD,MSP,1
RFD,MKG,0
RFD,JFK,1
RFD,EWR,1
RFD,OAK,1
RFD,OMA,1
RFD,ONT,1
RFD,SFB,4
RFD,AZA,2
RFD,PHX,1
RFD,PDX,1
RFD,PGD,3
RFD,MHR,1
RFD,SLC,1
RFD,SBD,0
RFD,BFI,1
RFD,SEA,1
RFD,STL,1
RFD,PIE,3
RFD,TPA,0
RFD,BDL,1
RML,NO,0
RBD,CFD,0
RBD,CVG,1
RBD,QTQ,0
RBD,DWH,0
RBD,HOU,0
RBD,HSV,1
RBD,QQN,1
RBD,OMA,0
RBD,ORL,0
RBD,PGA,1
RBD,PHX,1
RBD,RKP,1
RBD,SAT,0
RBD,DTN,0
RBD,SLR,0
RBD,TPA,1
RDP,BLR,8
RDP,MAA,7
RDP,DEL,8
RDP,HYD,4
RDP,BOM,7
RSW,MHH,1
RSW,YYZ,16
RSW,CMW,0
RSW,FRA,2
RSW,PLS,1
RSW,ABE,0
RSW,ATL,65
RSW,ACY,8
RSW,BWI,40
RSW,BOS,30
RSW,CHS,3
RSW,CLT,29
RSW,MDW,24
RSW,ORD,38
RSW,CVG,16
RSW,CLE,8
RSW,CMH,11
RSW,DFW,25
RSW,DAL,2
RSW,DEN,12
RSW,DTW,24
RSW,FXE,0
RSW,FLL,0
RSW,FPR,0
RSW,GSP,0
RSW,MDT,1
RSW,IAH,8
RSW,IND,12
RSW,MCI,3
RSW,LGC,0
RSW,LAS,2
