Departure,Arrival,Number of flights
TDW,PNX,1
TNR,ADD,8
TNR,CDG,7
TNR,NBO,13
TNR,DIE,8
TNR,MJN,4
TNR,WMN,2
TNR,MOQ,3
TNR,NOS,8
TNR,SMS,3
TNR,SVB,6
TNR,TMM,4
TNR,FTU,7
TNR,TLE,8
TNR,MRU,8
TNR,RUN,9
TNR,JNB,8
TNR,EBB,1
TKG,HLP,4
TKG,CGK,64
TKG,PLM,3
TZA,CUK,32
TZA,DGA,58
TZA,SPR,88
TRI,ATL,28
TRI,CLT,54
TRI,DFW,16
TRI,DAY,1
TRI,GSO,1
TRI,MNZ,5
TRI,QQN,0
TRI,SFB,2
TRI,PIE,2
TRI,VNC,1
TGP,KJA,3
TFU,MEL,4
TFU,PNH,3
TFU,YVR,3
TFU,AKU,28
TFU,AQG,4
TFU,AEB,4
TFU,BSD,8
TFU,BAV,12
TFU,RLK,4
TFU,BHY,35
TFU,PEK,83
TFU,PKX,100
TFU,CGQ,32
TFU,CGD,8
TFU,CSX,72
TFU,CIH,4
TFU,CZX,32
TFU,HCZ,4
TFU,JUH,4
TFU,DLU,40
TFU,DLC,14
TFU,DCY,16
TFU,DAT,8
TFU,DYG,20
TFU,DZH,32
TFU,DOY,4
TFU,DNH,4
TFU,EHU,8
TFU,FUO,8
TFU,FOC,38
TFU,KOW,16
TFU,GZG,8
TFU,CAN,121
TFU,KWL,16
TFU,KWE,5
TFU,HAK,44
TFU,HMI,12
TFU,HGH,104
TFU,HRB,52
TFU,HFE,70
TFU,HNY,5
TFU,HZA,8
TFU,HET,31
TFU,AHJ,4
TFU,HTN,12
TFU,HIA,8
TFU,TXN,4
TFU,HYN,16
TFU,HUZ,28
TFU,JGS,8
TFU,SWA,26
TFU,TNA,74
TFU,JDZ,4
TFU,JHG,37
TFU,SHS,4
TFU,JNG,4
TFU,JIU,2
TFU,KRY,15
TFU,KHG,24
TFU,KRL,28
TFU,KMG,96
TFU,KCA,8
TFU,LHW,41
TFU,LXA,80
TFU,LYG,8
TFU,LJG,51
TFU,LNJ,4
TFU,LFQ,6
TFU,LYI,8
TFU,LZH,4
TFU,LNL,4
TFU,LLV,8
TFU,LUM,26
TFU,KHN,65
TFU,NKG,77
TFU,NNG,61
TFU,NTG,42
TFU,NNY,4
TFU,NGB,47
TFU,LZY,24
TFU,DSN,14
TFU,SYM,4
TFU,TAO,71
TFU,IQN,1
TFU,BAR,8
TFU,JJN,27
TFU,JUZ,16
TFU,RIZ,5
TFU,SYX,87
TFU,SHA,112
TFU,PVG,65
TFU,DIG,5
TFU,HSC,4
TFU,SHE,67
TFU,SZX,131
TFU,SHF,4
TFU,SJW,52
TFU,WDS,8
TFU,JZH,20
TFU,TCG,4
TFU,TYN,51
TFU,TVS,8
TFU,TWC,4
TFU,TCZ,8
TFU,TSN,67
TFU,URC,100
TFU,WEF,4
TFU,WEH,8
TFU,WNH,4
TFU,WNZ,40
TFU,WUA,4
TFU,WUH,77
TFU,WHA,8
TFU,CQW,3
TFU,WUX,52
TFU,WUS,8
TFU,XIY,4
TFU,XMN,64
TFU,XFN,8
TFU,XIC,8
TFU,XNN,42
TFU,XAI,8
TFU,WUT,4
TFU,XUZ,16
TFU,ENY,4
TFU,YNZ,8
TFU,YTY,21
TFU,YNT,38
TFU,YIH,8
TFU,YIC,4
TFU,INC,29
TFU,YIN,28
TFU,YIW,24
TFU,YLX,4
TFU,UYN,4
TFU,YCU,8
TFU,YUS,4
TFU,ZHA,27
TFU,CGO,55
TFU,ZUH,32
TFU,WMT,4
TFU,CAI,3
TFU,ADD,4
TFU,CDG,4
TFU,FRA,3
TFU,HKG,26
TFU,DEL,6
TFU,BOM,2
TFU,CGK,3
TFU,FCO,4
TFU,KIX,6
TFU,NRT,1
TFU,VTE,1
TFU,MFM,8
TFU,KTM,9
TFU,SVO,3
TFU,LED,3
TFU,SIN,14
TFU,ICN,15
TFU,TSA,3
TFU,TPE,8
TFU,DMK,16
TFU,BKK,16
TFU,CNX,1
TFU,USM,1
TFU,HKT,11
TFU,DXB,3
TFU,LHR,3
TFU,LAX,1
TFU,TAS,3
TFU,SGN,2
TFU,CXR,2
TKK,GUM,5
TKK,PNI,3
TZN,NAS,4
TAE,DYG,5
TAE,FUK,8
TAE,KIX,8
TAE,NRT,8
TAE,CEB,3
TAE,CJU,93
TAE,ICN,8
TAE,TPE,16
TAE,BKK,8
TAE,DAD,8
TAZ,ASB,24
TAZ,MYP,2
TAZ,KRW,2
TVY,KAW,8
TVY,MGZ,5
TVY,RGN,26
TXN,PEK,8
TXN,TFU,4
TXN,CKG,8
TXN,DLC,5
TXN,CAN,6
