Departure,Arrival,Number of flights
ULH,DMM,3
ULH,JED,3
ULH,RUH,8
ULH,DXB,3
UAR,NO,0
UUA,DME,7
UUA,NJC,4
UUA,NUX,4
UUA,NOJ,2
UUA,SGC,3
UUA,USK,5
UOL,NO,0
USU,CRK,3
USU,CEB,27
USU,ENI,4
USU,MNL,64
UGN,DPA,1
UGN,PWK,1
UGN,APA,1
UGN,HCR,1
UGN,TYS,1
UGN,PSM,1
UGN,IAD,1
UBS,NO,0
USA,BQH,1
USA,BKG,1
USA,QQY,1
USA,CAE,1
USA,FLL,6
USA,LZU,6
USA,MEM,1
USA,OKC,1
USA,SFB,4
USA,PGD,2
USA,PIE,5
URY,JED,7
URY,RUH,8
UNU,NO,0
UBU,NO,0
UNG,DAU,7
UNG,HGU,3
UNG,POM,3
UKB,AOJ,8
UKB,HNA,8
UKB,KOJ,16
UKB,KCZ,8
UKB,MMJ,16
UKB,NGS,24
UKB,OKA,56
UKB,IBR,24
UKB,CTS,58
UKB,SDJ,16
UKB,SHI,8
UKB,HND,64
USM,TFU,1
USM,SIN,16
USM,BKK,157
USM,CNX,8
USM,KBV,8
USM,HKT,40
USM,UTP,8
UEO,OKA,30
UHE,NO,0
UUK,ANC,8
URE,TLL,29
URS,MRV,1
URS,VKO,10
URS,LED,2
ULK,IKT,5
ULK,KJA,4
ULK,TLK,1
ULK,YKS,5
UBB,BDD,16
UPG,AMQ,48
UPG,BPN,40
UPG,MWS,2
UPG,BDO,2
UPG,BTW,6
UPG,BUW,30
UPG,BIK,33
UPG,BMU,4
UPG,DPS,59
UPG,GTO,37
UPG,HLP,14
UPG,CGK,409
UPG,DJJ,29
UPG,KDI,51
UPG,KXB,27
UPG,KBU,8
UPG,LUW,37
UPG,MJU,25
UPG,MDC,48
UPG,MKW,8
UPG,MOF,8
UPG,MKQ,8
UPG,MOH,32
UPG,LLO,11
UPG,PLW,27
UPG,RAQ,4
UPG,KSR,7
UPG,SRG,16
UPG,SOQ,101
UPG,SUB,215
UPG,TRK,8
UPG,TTE,53
UPG,TIM,27
UPG,TRT,4
UPG,YIA,35
UPG,KUL,8
UPG,JED,1
UPG,MED,2
UPG,SIN,8
UMZ,NO,0
UTT,JNB,26
UAK,CPH,3
UAK,JNS,10
UAK,GOH,6
UAK,JFR,3
UAK,JJU,18
UAK,KEF,2
UYL,ELF,3
UYL,KRT,20
ULG,HVD,4
ULG,UBN,8
ULG,ULO,2
URA,FRA,1
URA,ALA,15
URA,NQZ,12
URA,GUW,5
URA,HSA,3
URA,AYT,3
UKK,ALA,21
UKK,NQZ,20
UKK,KGF,0
UKK,SZI,0
UKK,OVB,3
UVE,LIF,15
UVE,GEA,15
UOX,DXE,1
UDD,NO,0
UEL,MPM,10
UET,ISB,7
UET,KHI,20
UET,LHE,2
UET,DXB,6
UET,SHJ,3
UIH,HPH,5
UIH,HAN,86
UIH,SGN,76
UIB,APO,7
UIB,BOG,20
UIB,CLO,4
UIB,EOH,69
UIB,NQU,4
ULP,CTL,2
ULP,WNR,3
UIP,DNR,1
UIP,ORY,12
UIN,GYY,1
UIN,ORD,20
UIN,TYQ,1
UIN,MCI,1
UIN,LAN,1
UIN,STL,21
UIO,EZE,5
UIO,BOG,68
UIO,MDE,3
UIO,SJO,5
UIO,CUE,39
UIO,OCC,26
UIO,GYE,200
UIO,LOH,31
UIO,MEC,26
UIO,ETR,15
UIO,GPS,9
UIO,SAL,4
UIO,CUN,1
UIO,MEX,12
UIO,AMS,2
UIO,BLB,4
UIO,PTY,41
UIO,LIM,19
UIO,BQN,6
UIO,MAD,6
UIO,ATL,8
UIO,FLL,8
UIO,IAH,8
UIO,MIA,42
UIO,JFK,5
UNN,DMK,8
UTP,XIY,1
UTP,MFM,2
UTP,CNX,4
UTP,USM,8
UTP,HKT,8
UTP,DXB,6
URO,LBG,1
UAS,ANA,8
UAS,KTJ,8
UAS,HKR,8
UAS,MRE,8
UAS,KEU,8
UAS,WIL,10
UAS,NYK,14
UAS,OSJ,8
UAS,OLG,8
UAS,OLX,8
UAS,MDR,8
UAQ,AEP,22
UAQ,EZE,2
UAQ,COR,2
UST,NAS,1
UST,PDK,1
UST,BHM,1
UST,SDF,1
UST,APF,1
UST,SRQ,1
UST,UST,1
UST,VRB,1
UAI,DIL,2
URT,DMK,59
URT,BKK,24
URT,CNX,7
UTM,NO,0
UAH,NHV,2
UAH,UAP,1
UAP,NHV,2
UAP,UAH,1
UBJ,HND,80
UBA,CNF,7
UDI,CNF,36
UDI,VCP,29
UDI,JPA,1
UDI,MCZ,1
UDI,NAT,1
UDI,BPS,1
UDI,REC,1
UDI,CGH,22
UDI,GRU,33
UDI,GTP,7
UBP,DMK,56
UBP,BKK,32
UBP,CNX,4
UDR,AMD,6
UDR,BLR,8
UDR,BHO,4
UDR,IXC,2
UDR,DEL,38
UDR,HYD,3
UDR,IDR,8
UDR,JAI,8
UDR,BOM,32
UTH,DMK,73
UTH,BKK,57
UTH,CNX,4
UTH,HDY,3
UTH,HKT,8
UFA,EVN,5
UFA,GYD,6
UFA,MSQ,1
UFA,HRG,1
UFA,ALA,1
UFA,OSS,2
UFA,ASF,2
UFA,GRV,2
UFA,IAA,7
UFA,IKT,4
UFA,KZN,7
UFA,HMA,6
UFA,KGP,12
UFA,KJA,4
UFA,MCX,4
UFA,MRV,13
UFA,DME,33
UFA,SVO,55
UFA,VKO,22
UFA,NYM,2
UFA,NNM,4
UFA,NJC,7
UFA,GOJ,2
UFA,NSK,4
UFA,OVB,8
UFA,NUX,13
UFA,NOJ,2
UFA,OMS,3
UFA,SLY,3
UFA,AER,27
UFA,LED,60
UFA,SGC,28
UFA,TLK,3
UFA,TJM,7
UFA,USK,4
UFA,VOG,1
UFA,SVX,16
UFA,DYU,3
UFA,LBD,1
UFA,AYT,28
UFA,BJV,0
UFA,DLM,1
UFA,IST,4
UFA,DXB,3
UFA,SHJ,3
UFA,NMA,1
UFA,SKD,1
UFA,TAS,4
UCT,SVO,6
UCT,VKO,8
UCT,AER,2
UCT,LED,8
UKI,SMF,2
UKI,MHR,2
UKA,ASV,8
UKA,MYD,3
UKA,MBA,17
UKA,NBO,24
UKA,WIL,42
ULN,ICN,2
UBN,PEK,13
UBN,HET,1
UBN,NZH,5
UBN,FRA,4
UBN,HKG,8
UBN,NRT,7
UBN,ALA,3
UBN,DLZ,7
UBN,HVD,4
UBN,MXV,2
UBN,ULG,8
UBN,ULO,2
UBN,ULZ,1
UBN,IKT,8
UBN,KHV,1
UBN,KJA,2
UBN,UUD,2
UBN,PUS,5
UBN,ICN,34
UBN,BKK,1
UBN,IST,8
ULO,ULG,2
ULO,UBN,3
UUD,TSN,2
UUD,UBN,4
UUD,BQS,2
UUD,IKT,3
UUD,KHV,4
UUD,KJA,4
UUD,KYZ,2
UUD,DME,32
UUD,SVO,5
UUD,OVB,13
UUD,TOF,1
UUD,VVO,3
UUD,YKS,2
UUD,UUS,1
UCB,NO,0
ULZ,UBN,1
USN,CJU,16
USN,GMP,32
ULY,NO,0
ULV,KVX,0
ULV,MRV,3
ULV,SVO,24
ULV,VKO,19
ULV,OVB,2
ULV,AER,4
ULV,LED,10
ULV,AYT,2
UME,RHO,1
UME,GEV,1
UME,LLA,1
UME,OSD,14
UME,ARN,64
UME,BMA,23
UMU,CWB,2
UNA,CGH,2
UNA,GRU,0
UNA,GTP,7
UNK,ANC,16
UNK,OME,7
UNK,SKK,22
UNK,SMK,24
UVI,CWB,2
UCY,NO,0
UGL,NO,0
UNI,BQU,16
UNI,CIW,48
UNI,SVD,4
UTN,CPT,6
UTN,JNB,20
URJ,HMA,2
URJ,TJM,1
URJ,SVX,2
UGC,GYD,1
UGC,MRV,1
UGC,DME,10
UGC,AER,1
UGC,LED,3
UGC,IST,4
UGC,BHK,3
UGC,TAS,20
UPN,TIJ,11
UPN,LAX,1
URG,POA,10
URC,GYD,2
URC,AKU,59
URC,AAT,20
URC,PEK,64
URC,PKX,96
URC,BPL,26
URC,KJI,4
URC,CSX,56
URC,CTU,40
URC,TFU,99
URC,CKG,64
URC,FYN,7
URC,GYS,4
URC,CAN,79
URC,KWE,16
URC,HMI,4
URC,HGH,61
URC,HZG,4
URC,HFE,16
URC,HZA,4
URC,HET,24
URC,HTN,81
URC,TNA,55
URC,KRY,8
URC,KHG,112
URC,KRL,36
URC,KMG,8
URC,KCA,28
URC,LHW,77
URC,LNL,4
URC,RQA,7
URC,LYA,0
URC,LZO,8
URC,MIG,19
URC,KHN,8
URC,NAO,7
URC,NKG,56
URC,NNY,7
URC,TAO,8
URC,IQN,3
URC,BAR,4
URC,QSZ,16
URC,SHA,84
URC,PVG,35
URC,SHE,16
URC,SZX,40
URC,SJW,27
URC,TCG,20
URC,TYN,31
URC,TWC,20
URC,TSN,32
URC,WXN,4
URC,WUH,68
URC,XIY,126
URC,XFN,4
URC,XNN,12
URC,NLT,11
URC,YBP,7
URC,YIH,8
URC,INC,32
URC,YIN,70
URC,YCU,8
URC,YTW,20
URC,ZFL,4
URC,CGO,105
URC,ZHY,4
URC,TBS,6
URC,HKG,1
URC,IKA,3
URC,ALA,5
URC,NQZ,2
URC,FRU,4
URC,ISB,4
URC,LHE,2
URC,OVB,1
URC,DYU,5
URC,ASB,1
URC,TAS,2
UZR,ALA,0
UZR,NQZ,6
UZR,PLX,0
USQ,NO,0
USJ,ALA,3
USJ,NQZ,3
USJ,TDK,16
USH,AEP,25
USH,EZE,13
USH,COR,4
USH,FTE,4
USK,UUA,4
USK,VKO,8
USK,LED,5
USK,SCW,2
USK,UFA,5
UIK,NO,0
UKX,IKT,21
UKX,PYJ,1
UKG,YKS,4
UTS,SCW,2
UII,RTB,2
UII,SAP,2
UVA,SAT,1
UYU,LPB,13
UDJ,NO,0
UVF,YYZ,6
UVF,GND,3
UVF,GEO,3
UVF,MQS,24
UVF,TAB,1
UVF,LGW,8
UVF,ATL,8
UVF,CLT,8
UVF,MIA,10
UVF,JFK,7
UVF,EWR,1
UVF,PHL,1
UES,FXE,1
UES,JVL,1
UES,MKE,1
UES,MIE,1
UES,OSH,1
UES,TEB,1
UES,PBI,1
UYN,PEK,8
UYN,PKX,24
UYN,CSX,8
UYN,TFU,4
UYN,CKG,4
UYN,DLC,8
UYN,CAN,5
UYN,KWE,4
UYN,HGH,8
UYN,HZG,4
UYN,HRB,8
UYN,HET,4
UYN,TNA,8
UYN,JNG,4
UYN,KMG,8
UYN,LHW,8
UYN,NKG,8
UYN,NGB,4
UYN,TAO,4
UYN,PVG,8
UYN,SHE,4
UYN,SZX,4
UYN,TSN,8
UYN,WNZ,3
UYN,WUH,8
UYN,XIY,114
UYN,XNN,4
UYN,CGO,5
UUS,HRB,1
UUS,BQS,8
UUS,HTA,2
UUS,IKT,2
UUS,ITU,9
UUS,KHV,16
UUS,KXK,2
UUS,KJA,3
UUS,SVO,16
UUS,OVB,8
UUS,OHH,5
UUS,PKC,5
UUS,EKS,8
UUS,GVN,6
UUS,UUD,1
UUS,VVO,27
UUS,DEE,8
UUS,ZZO,2
