Departure,Arrival,Number of flights
VJI,NO,0
VLY,NO,0
VBA,AKY,1
VBA,RGN,2
VBS,LEJ,1
VBS,BRI,6
VBS,CAG,7
VBS,CTA,7
VBS,SUF,5
VBS,LIN,1
VBS,OLB,6
VBS,PEG,1
VCP,EZE,10
VCP,AJU,9
VCP,ARU,12
VCP,JTC,8
VCP,BEL,34
VCP,CNF,69
VCP,BVB,1
VCP,BSB,58
VCP,CLV,3
VCP,CGR,27
VCP,CAW,6
VCP,CAC,12
VCP,CXJ,7
VCP,XAP,13
VCP,EEA,5
VCP,CMG,4
VCP,CGB,40
VCP,CWB,55
VCP,FLN,32
VCP,FOR,18
VCP,IGU,23
VCP,GYN,35
VCP,GPB,6
VCP,IOS,8
VCP,JJG,6
VCP,JPA,9
VCP,JOI,24
VCP,JDO,8
VCP,IZA,13
VCP,LDB,21
VCP,MCZ,17
VCP,MAO,38
VCP,MII,8
VCP,MGF,20
VCP,NAT,9
VCP,NVT,31
VCP,PMW,11
VCP,PFB,13
VCP,PNZ,8
VCP,PGZ,5
VCP,PMG,7
VCP,POA,57
VCP,BPS,11
VCP,PPB,21
VCP,REC,40
VCP,RAO,37
VCP,GIG,28
VCP,SDU,86
VCP,RVD,6
VCP,ROO,8
VCP,SSA,43
VCP,SJP,37
VCP,SLZ,8
VCP,OPS,7
VCP,THE,8
VCP,TOW,6
VCP,TJL,5
VCP,UDI,29
VCP,VIX,37
VCP,SCL,18
VCP,BOG,11
VCP,MDE,2
VCP,UIO,1
VCP,ORY,7
VCP,FRA,1
VCP,LUX,5
VCP,ASU,2
VCP,LIM,5
VCP,LIS,15
VCP,FLL,12
VCP,GTP,7
VCP,MEM,2
VCP,MCO,8
VCP,MVD,3
VCP,CCS,1
VCA,ICN,4
VCA,VCS,6
VCA,DLI,5
VCA,DAD,16
VCA,HPH,4
VCA,HAN,60
VCA,PQC,8
VCA,VDO,4
VCA,VII,4
VAK,BET,0
VAK,HPB,7
VAK,SCM,2
VPY,MPM,8
VCL,HAN,8
VCL,SGN,63
VCS,VCA,6
VCS,HAN,41
VCS,SGN,129
VIL,ORY,1
VIL,AGA,2
