Departure,Arrival,Number of flights
WOE,NO,0
WBU,NO,0
WCD,NO,0
WDG,OKC,1
WJF,ONT,1
WJF,CLD,1
WHP,SQL,1
WMN,TNR,2
WMN,SVB,1
WLE,BNE,4
WME,PER,17
WMH,NO,0
WUI,NO,0
WNP,CEB,4
WNP,MNL,16
WIL,ASV,24
WIL,ANA,10
WIL,EDL,22
WIL,GAS,7
WIL,GGM,8
WIL,KTJ,56
WIL,KIS,62
WIL,KTL,14
WIL,LAU,16
WIL,LOK,8
WIL,MYD,16
WIL,NDE,3
WIL,HKR,47
WIL,MRE,71
WIL,KEU,56
WIL,MBA,38
WIL,NYK,51
WIL,OSJ,32
WIL,OLG,56
WIL,OLX,56
WIL,UAS,21
WIL,UKA,41
WIL,WJR,8
WIL,KMU,3
WIL,JRO,24
WIL,ZNZ,11
WIL,MDR,56
WNA,KUK,5
WNA,PKA,0
WWT,BET,6
WWT,NME,5
WWT,TNK,0
WTK,KVL,8
WTK,OTZ,12
WPR,PUQ,12
WPU,PUQ,7
WBG,NO,0
WLK,IAN,4
WLK,OTZ,16
WGN,PEK,4
WGN,CSX,4
WGN,CKG,4
WDS,PEK,16
WDS,PKX,8
WDS,TFU,8
WDS,CKG,6
WDS,DLC,8
WDS,FUO,8
WDS,FOC,3
WDS,CAN,8
WDS,KWL,4
WDS,KWE,4
WDS,HGH,8
WDS,KMG,8
WDS,LHW,4
WDS,NNG,4
WDS,NGB,2
WDS,DSN,4
WDS,TAO,4
WDS,JJN,4
WDS,PVG,9
WDS,SZX,7
WDS,SJW,8
WDS,TYN,4
WDS,WUH,8
WDS,XIY,7
WDS,XMN,8
WDS,INC,3
WBB,EMK,1
WBB,OME,7
WBB,SMK,7
WBB,UNK,14
WTB,BNE,4
WTB,CTL,3
WTB,MEL,4
WTB,PPP,1
WTB,SGO,2
WTB,SYD,6
WTB,TSV,2
WTB,HKG,1
WTN,NO,0
WAE,JED,3
WAE,RUH,8
WGA,BNE,6
WGA,MEL,11
WGA,SYD,49
WIK,NO,0
WGP,DPS,16
WGP,KOE,27
WJR,ASV,5
WJR,WIL,8
WKJ,CTS,16
WKJ,HND,16
WAA,KTS,11
WAA,OME,8
WAA,TNC,1
WGE,DBO,3
WGE,LHG,3
WKR,NO,0
WLS,NAN,1
WLS,NOU,3
WLS,FUT,15
WVB,ERS,9
WVB,HLE,1
WVB,CPT,8
WVB,JNB,8
WMX,DJJ,200
WMX,TIM,17
WKA,CHC,14
WOT,NO,0
WGT,NO,0
WXN,PEK,7
WXN,PKX,4
WXN,CSX,8
WXN,DCY,2
WXN,FOC,2
WXN,CAN,8
WXN,KWL,2
WXN,KWE,7
WXN,HAK,4
WXN,HGH,4
WXN,HFE,1
WXN,TNA,2
WXN,JNG,4
WXN,KMG,11
WXN,LHW,8
WXN,KHN,1
WXN,NKG,4
WXN,NGB,8
WXN,PZI,1
WXN,PVG,8
WXN,HPG,1
WXN,SZX,8
WXN,TSN,5
WXN,URC,4
WXN,WNZ,4
WXN,XMN,4
WXN,XNN,2
WXN,YNZ,1
WBM,HGU,4
WBM,POM,3
WMB,NO,0
WAW,TIA,11
WAW,EVN,7
WAW,VIE,50
WAW,GYD,5
WAW,BRU,30
WAW,CRL,9
WAW,SJJ,6
WAW,BOJ,4
WAW,SOF,16
WAW,YYZ,15
WAW,SID,1
WAW,PEK,6
WAW,PKX,2
