Departure,Arrival,Number of flights
XJD,NO,0
XAC,NO,0
XBE,MSA,6
XBE,YXL,11
XBE,YAX,1
XNA,ASE,1
XNA,ATL,31
XNA,CLT,29
XNA,CHA,1
XNA,ORD,53
XNA,DFW,67
XNA,DEN,29
XNA,DSI,1
XNA,VPS,7
XNA,FLL,2
XNA,GJT,1
XNA,IAH,24
XNA,LAS,3
XNA,LAX,10
XNA,MIA,1
XNA,MSP,4
XNA,BNA,3
XNA,MSY,2
XNA,LGA,14
XNA,OKC,1
XNA,MCO,4
XNA,SFB,5
XNA,PHX,8
XNA,PIE,2
XNA,VDF,1
XNA,TPA,3
XNA,TEB,1
XNA,DCA,7
XBJ,MHD,2
XBJ,THR,4
XAP,VCP,12
XAP,FLN,5
XAP,GRU,30
XAP,GTP,7
XCM,NO,0
XCH,PER,2
XCH,CCK,1
XPL,SAL,11
XPL,GUA,4
XPL,MEX,4
XPL,PTY,12
XPL,MAD,3
XPL,DFW,1
XPL,FLL,13
XPL,IAH,11
XPL,MIA,16
XFW,NTE,1
XFW,TLS,3
XFW,CEG,1
XRY,BRU,1
XRY,DUS,8
XRY,FRA,9
XRY,HAM,2
XRY,HAJ,3
XRY,MUC,3
XRY,STR,1
XRY,FCO,1
XRY,LUX,1
XRY,FAO,2
XRY,BCN,15
XRY,BIO,2
XRY,LPA,1
XRY,MAD,25
XRY,PMI,5
XRY,TFN,2
XRY,LGW,1
XRY,STN,4
XGR,YVP,15
XKS,YTL,4
XKS,YXL,8
XKS,YAX,6
XLB,NO,0
XMH,PPT,3
XMU,NO,0
XMS,NO,0
XCR,LBG,1
XCR,TLS,1
XCR,RAK,2
XCR,OPO,2
XPR,NO,0
XQU,NO,0
XQP,DRK,0
XQP,SJO,16
XSP,BNE,1
XSP,SZB,48
XSP,KCH,8
XSP,SIN,0
XSB,NO,0
XSC,GDT,8
XSC,PLS,19
XSC,SLX,1
XTL,NO,0
XTO,NO,0
XSD,NO,0
XWA,BOI,0
XWA,DEN,24
XWA,FAR,3
XWA,MCI,1
XWA,MSP,14
XIY,DAC,2
XIY,AKU,17
XIY,AAT,12
XIY,AQG,4
XIY,NBS,1
XIY,BAV,24
XIY,RLK,8
XIY,BZX,4
XIY,BHY,16
XIY,PEK,98
XIY,PKX,130
XIY,BFJ,3
XIY,BPL,5
XIY,CGQ,52
XIY,CGD,4
XIY,CSX,99
XIY,CIH,3
XIY,CZX,19
XIY,CDE,4
XIY,CTU,4
XIY,TFU,4
XIY,HCZ,4
XIY,JUH,8
XIY,CKG,24
XIY,DLU,12
XIY,DLC,55
XIY,DCY,2
XIY,DQA,4
XIY,DYG,16
XIY,DZH,4
XIY,DOY,8
XIY,DNH,39
XIY,ENH,12
XIY,FUG,4
XIY,FOC,40
XIY,KOW,4
XIY,GOQ,8
XIY,CAN,145
XIY,KWL,34
XIY,KWE,64
XIY,GYU,11
XIY,HAK,37
XIY,HMI,8
XIY,HGH,130
XIY,HRB,59
XIY,HFE,47
XIY,HNY,4
XIY,HZA,4
XIY,HET,44
XIY,HTN,16
XIY,HIA,16
XIY,HJJ,8
XIY,TXN,8
XIY,HYN,8
XIY,HUZ,14
XIY,JGS,8
XIY,SWA,8
XIY,TNA,71
XIY,JIC,8
XIY,JDZ,4
XIY,JHG,12
XIY,SHS,8
XIY,JNG,4
XIY,JIU,8
XIY,KRY,16
XIY,KHG,24
XIY,KRL,32
XIY,KMG,104
XIY,KCA,8
XIY,LHW,8
XIY,LXA,59
XIY,LYG,16
XIY,LJG,43
XIY,LYI,16
XIY,LZH,4
XIY,LNL,4
XIY,LZO,8
XIY,LLV,10
XIY,LUM,8
XIY,KHN,59
XIY,NKG,105
XIY,NNG,40
XIY,NTG,20
XIY,NGB,38
XIY,LZY,8
XIY,DSN,40
XIY,BPX,7
XIY,TAO,74
XIY,JJN,13
XIY,JUZ,4
XIY,SYX,59
XIY,QSZ,8
XIY,SHA,136
XIY,PVG,89
XIY,SHE,83
XIY,SZX,147
XIY,RKZ,5
XIY,SHF,4
XIY,SJW,1
XIY,WDS,7
XIY,JZH,5
XIY,TVS,4
XIY,TWC,4
XIY,TSN,70
XIY,TGO,6
XIY,TEN,6
XIY,TLQ,4
XIY,URC,126
XIY,WEF,7
XIY,WEH,4
XIY,WNZ,32
XIY,WUA,0
XIY,WUH,32
XIY,WHA,8
XIY,WUX,48
XIY,WUS,8
XIY,WUZ,4
XIY,XMN,69
XIY,XFN,5
XIY,XIC,7
XIY,XNN,70
XIY,XAI,8
XIY,ENY,8
XIY,YNZ,3
XIY,YTY,15
XIY,YNT,39
XIY,YBP,4
XIY,YIH,8
XIY,YIC,4
XIY,INC,11
XIY,YIN,20
XIY,YIW,16
XIY,YYA,4
XIY,YLX,4
XIY,UYN,114
XIY,ZQZ,4
XIY,YZY,8
XIY,ZHA,4
XIY,ZAT,4
XIY,ZHY,4
XIY,HSN,4
XIY,ZUH,40
XIY,WMT,8
XIY,ZYI,8
XIY,PRG,4
XIY,HKG,5
XIY,DEL,5
XIY,NGO,3
XIY,KIX,6
XIY,NRT,7
XIY,ALA,1
XIY,NQZ,2
XIY,FRU,2
XIY,VTE,4
XIY,KUL,1
XIY,SVO,7
XIY,OVB,2
XIY,SIN,6
XIY,PUS,2
XIY,ICN,12
XIY,DMK,15
XIY,BKK,15
XIY,HKT,4
XIY,UTP,1
XIY,LHR,2
XIY,ANC,2
XIY,TAS,5
XIY,CXR,1
XMN,MEL,8
XMN,SYD,8
XMN,PNH,6
XMN,YVR,3
XMN,AQG,4
XMN,PEK,86
XMN,PKX,89
XMN,BFJ,4
XMN,CGQ,4
XMN,CSX,64
XMN,CZX,20
XMN,CTU,42
XMN,TFU,64
XMN,JUH,4
XMN,CKG,71
XMN,DLC,7
XMN,DOY,4
XMN,EHU,4
XMN,FUG,4
XMN,FOC,1
XMN,CAN,59
XMN,KWL,14
XMN,KWE,44
XMN,HAK,31
XMN,HDG,4
XMN,HGH,74
XMN,HRB,8
XMN,HFE,30
XMN,HNY,4
XMN,HZA,4
XMN,HET,8
XMN,HIA,4
XMN,TXN,8
XMN,JGS,7
XMN,TNA,57
XMN,JDZ,4
XMN,JHG,4
XMN,SHS,4
XMN,JNG,8
XMN,KMG,94
XMN,LHW,8
XMN,LYG,7
XMN,LJG,6
XMN,LYI,4
XMN,LZH,8
XMN,LYA,4
XMN,LZO,6
XMN,MIG,4
XMN,KHN,8
XMN,NKG,76
XMN,NNG,32
XMN,NTG,8
XMN,NNY,4
XMN,NGB,8
XMN,TAO,32
XMN,JUZ,4
XMN,SYX,12
XMN,SHA,140
XMN,PVG,36
XMN,SQD,2
XMN,SHE,36
XMN,SZX,1
XMN,SJW,21
XMN,WDS,8
XMN,TYN,19
XMN,TSN,48
XMN,TEN,6
XMN,WXN,4
XMN,WUH,75
XMN,WHA,4
XMN,WUX,24
XMN,WUS,8
XMN,XIY,69
XMN,XFN,8
XMN,XUZ,7
XMN,YNZ,5
XMN,YTY,16
XMN,YNT,12
XMN,YIH,2
XMN,YIC,4
XMN,INC,4
XMN,YLX,4
XMN,CGO,79
XMN,HSN,40
XMN,ZUH,10
XMN,WMT,8
XMN,ZYI,7
XMN,CDG,1
XMN,HKG,16
XMN,DPS,8
XMN,CGK,9
XMN,KIX,8
XMN,NRT,8
XMN,LUX,3
XMN,MFM,9
XMN,KUL,11
XMN,RGN,3
XMN,AMS,3
XMN,MNL,17
XMN,DOH,2
XMN,SIN,16
XMN,ICN,10
XMN,KHH,5
XMN,TSA,11
XMN,TPE,21
XMN,BKK,12
XMN,LAX,3
XMN,HAN,5
XMN,SGN,8
XFN,PEK,8
XFN,PKX,8
XFN,CGQ,8
XFN,TFU,8
XFN,CKG,4
XFN,DLC,4
XFN,FOC,8
XFN,CAN,15
XFN,KWL,4
XFN,KWE,8
XFN,HAK,4
XFN,HGH,8
XFN,HRB,4
XFN,TNA,8
XFN,KMG,8
XFN,LJG,4
XFN,KHN,8
XFN,NKG,8
XFN,NNG,4
XFN,NGB,4
XFN,TAO,4
XFN,SHA,8
XFN,SHE,8
XFN,SZX,16
XFN,TYN,8
XFN,TSN,4
XFN,URC,4
XFN,WNZ,4
XFN,WUX,4
XFN,XIY,4
XFN,XMN,8
XFN,XNN,8
XFN,INC,4
XFN,ZUH,8
XIC,PEK,8
XIC,PKX,8
XIC,CSX,8
XIC,CTU,12
XIC,TFU,8
XIC,CKG,4
XIC,DZH,4
XIC,GYS,3
XIC,CAN,11
XIC,HGH,4
XIC,JHG,5
XIC,LZO,8
XIC,MIG,3
XIC,NKG,1
XIC,NNG,7
XIC,NGB,4
XIC,LZY,8
XIC,PVG,8
XIC,SZX,8
XIC,WUH,6
XIC,XIY,7
XIC,CGO,2
XIC,ZUH,4
XIC,ZYI,4
XKH,VTE,16
XIL,BAV,8
XIL,RLK,8
XIL,PEK,8
XIL,PKX,16
XIL,CIF,4
XIL,DLC,3
XIL,ERL,8
XIL,HLD,6
XIL,HRB,4
XIL,HET,61
XIL,DSN,8
XIL,TSN,8
XIL,TGO,8
XIL,HLH,8
XIL,WUA,5
XNN,AKU,7
XNN,PEK,25
XNN,PKX,40
XNN,CSX,43
XNN,CZX,8
XNN,CTU,28
XNN,TFU,42
XNN,CKG,20
XNN,HXD,12
XNN,DNH,8
XNN,ENH,8
XNN,GOQ,24
XNN,GMQ,19
XNN,CAN,20
XNN,KWL,4
XNN,KWE,8
XNN,HBQ,1
XNN,HDG,4
XNN,HGH,16
XNN,HRB,5
XNN,HFE,25
XNN,HET,16
XNN,HTT,5
XNN,SHS,4
XNN,KMG,25
XNN,LXA,17
XNN,LFQ,4
XNN,LNL,4
XNN,LYA,8
XNN,LZO,8
XNN,MIG,5
XNN,NKG,30
XNN,NNG,3
XNN,NTG,4
XNN,NGB,12
XNN,DSN,8
XNN,TAO,8
XNN,SHA,10
XNN,PVG,43
XNN,SZX,11
XNN,TYN,8
XNN,TSN,16
XNN,URC,12
XNN,WXN,2
XNN,WNZ,2
XNN,WUH,28
XNN,WHA,4
XNN,WUX,5
XNN,XIY,70
XNN,XFN,8
XNN,ENY,4
XNN,YTY,4
XNN,YIH,5
XNN,INC,20
XNN,UYN,4
XNN,YUS,36
XNN,CGO,41
XAI,PKX,8
XAI,TFU,8
XAI,CKG,4
XAI,HAK,2
XAI,HGH,8
XAI,HET,4
XAI,HUZ,8
XAI,WNZ,8
XAI,WUX,4
XAI,XIY,8
XAI,ENY,4
XUZ,BHY,4
XUZ,CGQ,15
XUZ,CSX,20
XUZ,TFU,16
XUZ,CKG,8
XUZ,DLC,15
XUZ,FOC,9
XUZ,CAN,23
XUZ,KWL,4
XUZ,KWE,8
XUZ,HAK,5
XUZ,HRB,24
XUZ,HET,10
XUZ,SWA,8
XUZ,KMG,16
XUZ,KHN,8
XUZ,NNG,8
XUZ,JJN,12
XUZ,SHE,17
XUZ,SZX,26
XUZ,TYN,6
XUZ,TEN,1
XUZ,WNZ,1
XUZ,XMN,7
XUZ,INC,4
XUZ,HSN,4
XUZ,ZUH,7
XUZ,BKK,1
XMY,CNC,9
XMY,HID,12
