Departure,Arrival,Number of flights
YXX,YYC,52
YXX,YEG,34
YXX,YHM,8
YXX,YXU,2
YXX,YYZ,17
YXX,YWG,5
YXX,PVR,3
YXX,SJD,1
YLT,NO,0
YTF,NO,0
YEY,NO,0
YAB,YFB,1
YAB,YRB,4
YEK,YGX,1
YEK,YRT,11
YIE,PKX,2
YIE,HET,4
YAT,ZKE,9
YAT,YPO,3
YPJ,YKG,4
YPJ,YVP,3
YPJ,YTQ,7
YBC,YQB,19
YBC,YZV,13
YBK,YYQ,2
YBK,YRT,13
YLK,NO,0
YBV,YDV,12
YTL,KIF,1
YTL,YPL,3
YTL,YXL,7
YTL,YAX,7
YBI,YRF,3
YBI,YHG,3
YBX,YYR,3
YBX,YMH,3
YBX,YIF,13
YBX,YZV,6
YBX,YAY,6
YVB,YGR,3
YVB,YHU,3
YVB,YQB,5
YVB,TEB,1
YBY,YEG,1
YBR,YYC,10
YBT,NO,0
YVT,NO,0
YPZ,NO,0
YEI,MXP,1
YEI,DIY,3
YEI,ERZ,4
YEI,MSR,4
YEI,SZF,1
YEI,TZX,2
YYC,YXX,52
YYC,YBR,9
YYC,YYG,1
YYC,YQQ,16
YYC,CFM,1
YYC,YXC,24
YYC,YEG,126
YYC,YFI,3
YYC,YMM,51
YYC,YXJ,16
YYC,YQU,43
YYC,YHZ,31
YYC,YHM,30
YYC,YKA,27
YYC,YLW,85
YYC,YQL,24
YYC,YLL,8
YYC,YXU,14
YYC,YXH,24
YYC,YQM,2
YYC,YUL,58
YYC,YCD,31
YYC,YOW,39
YYC,YPE,0
YYC,YYF,16
YYC,YXS,10
YYC,YQB,1
YYC,YQR,54
YYC,YXE,55
YYC,YYT,8
YYC,YXT,9
YYC,YYZ,179
YYC,YVR,236
YYC,YYJ,56
YYC,YKF,18
YYC,YXY,3
YYC,YQG,1
YYC,YWG,82
YYC,YZF,18
YYC,CDG,8
YYC,FRA,14
YYC,DUB,5
YYC,FCO,6
YYC,NRT,4
YYC,LUX,1
YYC,CUN,7
YYC,PVR,6
YYC,SJD,5
YYC,TLC,1
YYC,AMS,8
YYC,BCN,3
YYC,EDI,4
YYC,LGW,8
YYC,LHR,16
YYC,ANC,3
YYC,ATL,11
YYC,AUS,3
YYC,BOS,5
YYC,CPR,1
YYC,ORD,28
YYC,CVG,7
YYC,DFW,16
YYC,DEN,21
YYC,DTW,3
YYC,IAH,29
YYC,LAS,31
YYC,LAX,41
YYC,MEM,2
YYC,MSP,16
YYC,BNA,6
YYC,JFK,8
YYC,EWR,8
YYC,MCO,3
YYC,PSP,6
YYC,PHX,20
YYC,PDX,16
YYC,SLC,16
YYC,SAN,3
YYC,SFO,28
YYC,SNA,4
YYC,SEA,30
YYC,IAD,11
YCB,YBB,2
YCB,YCO,4
YCB,YYH,1
YCB,YZF,7
YBL,YVR,31
YTE,YFB,6
YRF,YBI,3
YRF,YYR,3
YCG,YVR,8
YAC,NO,0
YCL,NO,0
YYG,YYC,0
YYG,YEG,1
YYG,YHM,2
YYG,YUL,15
YYG,YOW,0
YYG,YYZ,30
YHG,YBI,3
YHG,YHA,3
YCQ,NO,0
YHR,ZGS,13
YHR,ZLT,1
YHR,YIF,13
YHR,YZV,6
YHR,ZTB,12
YMT,YUL,3
YMT,YHU,1
YMT,YNS,2
YCW,NO,0
YYQ,YBK,2
YYQ,YGX,2
YYQ,YWG,2
YCY,YFB,6
YKC,NO,0
YQQ,YYC,16
YQQ,YEG,12
YQQ,WPL,0
YQQ,CXH,1
YQQ,YVR,40
YZS,YUT,1
YZS,YRT,7
YXC,YYC,24
YXC,YLW,0
YXC,YVR,16
YCR,NO,0
YDA,YEV,3
YDA,YOC,7
YDA,YXY,17
YDQ,NO,0
YDL,NO,0
YDF,YYR,14
YDF,YHZ,8
YDF,YHM,3
YDF,YQM,7
YDF,YUL,8
YDF,YYT,21
YDF,YYZ,10
YDF,SNN,1
YVZ,YNO,6
YVZ,YPM,1
YVZ,YHP,6
YVZ,YRL,1
YVZ,YXL,10
YWJ,YGH,1
YWJ,ZFN,6
YWJ,YZF,7
YIP,YHM,1
YIP,YXU,1
YIP,ABQ,1
YIP,DAY,1
YIP,ELP,1
YIP,OPF,1
YIP,SBN,1
YIP,TEB,2
YHD,YQK,2
YHD,YRL,1
YHD,YQT,3
YXR,NO,0
YEG,YXX,35
YEG,YYC,124
YEG,YYG,1
YEG,YQQ,12
YEG,CFM,1
YEG,YPY,3
YEG,YFI,5
YEG,HZP,0
YEG,YMM,11
YEG,YSM,3
YEG,YQU,5
YEG,YHZ,11
YEG,YHM,13
YEG,YOJ,8
YEG,YLW,54
YEG,YXU,2
YEG,YUL,25
YEG,YCD,2
YEG,YOW,18
YEG,YXS,6
YEG,YQR,15
YEG,YXE,16
YEG,YYZ,114
YEG,YVR,147
YEG,YYJ,29
YEG,YXY,2
YEG,YWG,31
YEG,YZF,26
YEG,FRA,2
YEG,CUN,4
YEG,PVR,2
YEG,SJD,4
YEG,AMS,4
YEG,BOI,0
YEG,CVG,1
YEG,DEN,16
YEG,LAS,15
YEG,LAX,10
YEG,MEM,2
YEG,MSP,6
YEG,BNA,2
YEG,SFO,8
YEG,SEA,13
YOA,NO,0
YEU,YZF,0
YFO,YQD,7
YFO,YWG,3
YFO,FAR,0
YFA,ZKE,14
YFA,YMO,14
YPY,YEG,3
YPY,YSM,3
YAG,YFO,0
YAG,YQK,4
YAG,YXL,1
YAG,YQT,2
YGH,YCK,6
YGH,YWJ,1
YGH,YVQ,4
YGH,YZF,3
YFH,NO,0
YFI,YYC,3
YFI,YEG,3
YMM,YYC,51
YMM,YOD,0
YMM,YEG,11
YMM,YYZ,3
YYE,YXS,3
YER,YXL,7
YER,YAX,1
YFS,YZF,14
YSM,YEG,3
YSM,YPY,3
YSM,YHY,4
YSM,YZF,9
YXJ,YYC,15
YXJ,YVR,32
YFC,YUL,17
YFC,YOW,0
YFC,YTZ,0
YFC,YYZ,17
YQX,YYR,7
YQX,YHZ,8
YQX,YYT,7
YQX,YYZ,8
YQX,SNN,2
YGP,YGR,10
YGP,YQB,10
YND,YND,0
YGQ,NO,0
YGX,YEK,1
YGX,YYQ,2
YGX,YTH,3
YGX,YWG,3
YGB,NO,0
YHK,YBB,6
YHK,YYH,2
YHK,YZF,3
YGO,ZGI,13
YYR,YRF,3
YYR,YDF,14
YYR,YQX,7
YYR,YHZ,8
YYR,YBX,3
YYR,YDP,13
YYR,YNP,6
YYR,YRG,7
YYR,YAY,1
YYR,YWK,15
YYR,SKG,1
YYR,BGR,1
YQU,YYC,45
YQU,YEG,5
YGZ,YRB,3
YHZ,LGG,6
YHZ,YYC,31
YHZ,YDF,9
YHZ,YEG,11
YHZ,YQX,8
YHZ,YYR,8
YHZ,YHM,10
YHZ,YXU,4
YHZ,YQM,1
YHZ,YMX,2
YHZ,YUL,37
YHZ,YOW,27
YHZ,YQB,3
YHZ,YYT,34
YHZ,YTZ,0
YHZ,YYZ,100
YHZ,YVR,5
YHZ,YKF,5
YHZ,YQG,3
YHZ,YWG,4
YHZ,CGN,1
YHZ,FRA,8
YHZ,FSP,3
YHZ,MAD,1
YHZ,LHR,8
YHZ,ANC,4
YHZ,BOS,9
YHZ,ORD,1
YHZ,EWR,9
YHZ,PHL,8
YHZ,TEB,1
YHZ,DCA,1
YUX,YGT,3
YUX,YFB,3
YHM,YXX,8
YHM,YYC,38
YHM,YYG,2
YHM,YDF,3
YHM,YEG,22
YHM,YHZ,7
YHM,YQM,8
YHM,YMX,9
YHM,YOW,7
YHM,YYT,3
YHM,YTZ,0
YHM,YVR,6
YHM,YWG,16
YHM,CGN,1
YHM,CUN,2
YHM,CAK,5
YHM,CVG,11
YHM,MDT,1
YHM,LAS,4
YHM,SDF,1
YHM,JFK,1
YHM,EWR,5
YHM,MCO,2
YGV,YPN,6
YHY,YSM,4
YHY,YOJ,4
YHY,YZF,20
YOJ,YEG,8
YOJ,YHY,4
YHO,YNP,7
YHO,YSO,7
YGT,YUX,3
YGT,YFB,5
YGR,YVB,8
YGR,YGP,10
YGR,YUL,8
YGR,YHU,4
YGR,YQB,8
YPH,YPX,8
YPH,YUD,8
YEV,LAK,13
YEV,YDA,6
YEV,YVQ,3
YEV,YOC,6
YEV,YXY,2
YEV,YZF,5
YFB,YAB,4
YFB,YTE,6
YFB,YCY,6
YFB,YUX,3
YFB,YGT,5
YFB,YLC,3
YFB,YVP,2
YFB,YMX,4
YFB,YOW,16
YFB,YXP,11
YFB,YIO,8
YFB,YVM,4
YFB,YRT,3
YFB,YVR,0
YFB,YZF,2
YIV,YRS,13
YIK,AKV,8
YIK,YZG,8
YKA,YYC,27
YKA,YLW,1
YKA,YXS,5
YKA,YVR,39
YWB,YQC,8
YWB,YZG,8
YKG,YPJ,3
YKG,YVP,9
YKG,YQC,8
YYU,NO,0
YAU,NO,0
YLW,YYC,86
YLW,YEG,53
YLW,YKA,1
