Departure,Arrival,Number of flights
ZIS,NO,0
ZBF,YUL,4
ZBM,TEB,1
ZAO,NO,0
ZBR,MHD,3
ZBR,THR,17
ZBR,ZAH,4
ZUM,YYR,3
ZDY,NO,0
ZFD,YPA,2
ZFD,YXE,4
ZFD,YSF,7
ZGI,YOH,13
ZHP,NO,0
ZNO,NO,0
ZKE,YAT,14
ZKE,YFA,14
ZLO,MEX,16
ZLO,LAX,1
ZMT,YVR,8
ZIA,EVN,4
ZIA,GYD,3
ZIA,HGH,8
ZIA,WUX,7
ZIA,HRG,2
ZIA,SSH,2
ZIA,SCO,3
ZIA,ALA,3
ZIA,NQZ,3
ZIA,FRU,8
ZIA,OSS,8
ZIA,MCX,2
ZIA,MRV,1
ZIA,NNM,3
ZIA,HRI,2
ZIA,DYU,25
ZIA,LBD,16
ZIA,TJU,8
ZIA,HKT,2
ZIA,AYT,9
ZIA,IST,4
ZNA,YHS,0
ZNA,CXH,44
ZNA,YVR,0
ZNE,BQB,1
ZNE,PER,47
ZNE,PHE,1
ZOS,SCL,21
ZQN,BNE,7
ZQN,OOL,4
ZQN,MEL,13
ZQN,SYD,23
ZQN,AKL,65
ZQN,CHC,31
ZQN,WLG,22
ZRJ,NO,0
ZPB,YXL,5
ZSE,MRU,2
ZSA,LGI,1
ZSA,NAS,7
ZSA,YUL,1
ZSA,PUJ,2
ZSA,FLL,1
ZSA,MIA,1
ZSJ,KEW,4
ZSJ,YXL,17
ZVK,VTE,11
ZRI,BIK,7
ZRI,DJJ,7
ZTM,NO,0
ZYL,DAC,98
ZYL,DOH,1
ZYL,JED,2
ZYL,DXB,1
ZYL,SHJ,1
ZYL,LHR,4
ZYL,MAN,4
ZCO,BBA,3
ZCO,SCL,58
ZFN,YWJ,6
ZFN,YVQ,6
ZAL,SCL,23
ZWL,YVC,1
ZWL,YNL,2
ZWL,YPA,4
ZCL,MEX,15
ZCL,TIJ,16
ZCL,MDW,8
ZCL,DFW,8
ZCL,LAX,6
ZCL,SJC,2
ZAD,VIE,14
ZAD,QEW,1
ZAD,BRU,1
ZAD,CRL,4
ZAD,SOF,3
ZAD,OSI,1
ZAD,PUY,9
ZAD,RJK,1
ZAD,ZAG,9
ZAD,PRG,5
ZAD,AAR,2
ZAD,HEL,2
ZAD,BOD,2
ZAD,MRS,2
ZAD,BVA,2
ZAD,BER,4
ZAD,BRE,2
ZAD,CGN,5
ZAD,DUS,1
ZAD,FRA,3
ZAD,HHN,2
ZAD,HAM,3
ZAD,FKB,4
ZAD,FMM,6
ZAD,MUC,3
ZAD,FMO,2
ZAD,NUE,5
ZAD,STR,2
ZAD,NRN,6
ZAD,BUD,3
ZAD,DUB,2
ZAD,BLQ,2
ZAD,BGY,7
ZAD,MXP,3
ZAD,PSA,2
ZAD,FCO,2
ZAD,TRN,2
ZAD,LUX,1
ZAD,EIN,3
ZAD,RTM,2
ZAD,GDN,3
ZAD,KRK,5
ZAD,POZ,6
ZAD,RZE,2
ZAD,WMI,3
ZAD,WRO,6
ZAD,IEG,1
ZAD,OTP,3
ZAD,BEG,1
ZAD,BTS,1
ZAD,GOT,3
ZAD,ARN,2
ZAD,VXO,3
ZAD,BHX,2
ZAD,BOH,2
ZAD,EDI,2
ZAD,LBA,2
ZAD,LPL,3
ZAD,STN,5
ZAD,MAN,2
ZAD,NCL,2
ZAG,VIE,20
ZAG,BRU,13
ZAG,CRL,7
ZAG,OMO,4
ZAG,SJJ,17
ZAG,SOF,2
ZAG,YYZ,2
ZAG,BWK,2
ZAG,DBV,33
ZAG,OSI,6
ZAG,PUY,4
ZAG,SPU,31
ZAG,ZAD,9
ZAG,ZAG,1
ZAG,PFO,3
ZAG,CPH,8
ZAG,HEL,3
ZAG,BSL,4
ZAG,BVA,3
ZAG,CDG,17
ZAG,CGN,6
ZAG,DUS,2
ZAG,FRA,35
ZAG,HHN,3
ZAG,FKB,4
ZAG,FMM,4
ZAG,MUC,18
ZAG,STR,5
ZAG,NRN,3
ZAG,ATH,3
ZAG,CFU,3
ZAG,KGS,2
ZAG,SKG,2
ZAG,DUB,5
ZAG,TLV,2
ZAG,BDS,3
ZAG,BGY,5
ZAG,NAP,2
ZAG,FCO,5
ZAG,MLA,4
ZAG,TGD,3
ZAG,AMS,23
ZAG,EIN,3
ZAG,SKP,10
ZAG,TRF,3
ZAG,WAW,13
ZAG,DOH,8
ZAG,OTP,1
ZAG,BEG,19
ZAG,BTS,4
ZAG,BCN,5
ZAG,MAD,2
ZAG,AGP,2
ZAG,GOT,3
ZAG,MMX,4
ZAG,ZRH,17
ZAG,MIR,1
ZAG,IST,14
ZAG,DXB,6
ZAG,LHR,9
ZAG,STN,8
ZAG,MAN,2
ZAH,ZBR,4
ZAH,MHD,9
ZAH,SYZ,1
ZAH,THR,36
ZAH,JED,0
ZTH,TIA,1
ZTH,SZG,2
ZTH,VIE,6
ZTH,BRU,5
ZTH,BRQ,2
ZTH,OSR,2
ZTH,PRG,8
ZTH,BLL,2
ZTH,CPH,1
ZTH,HEL,2
ZTH,NTE,2
ZTH,ORY,3
ZTH,BER,1
ZTH,DUS,6
ZTH,FRA,3
ZTH,HAM,2
ZTH,MUC,4
ZTH,STR,1
ZTH,NRN,1
ZTH,ATH,22
ZTH,HER,1
ZTH,EFL,3
ZTH,BUD,4
ZTH,DUB,2
ZTH,BRI,4
ZTH,BGY,3
ZTH,NAP,4
ZTH,PMO,1
ZTH,FCO,1
ZTH,VCE,3
ZTH,VRN,1
ZTH,VNO,1
ZTH,AMS,20
ZTH,EIN,3
ZTH,RTM,1
ZTH,GDN,2
ZTH,KTW,2
ZTH,POZ,1
ZTH,WAW,5
ZTH,WMI,1
ZTH,OTP,2
ZTH,CLJ,1
ZTH,TSR,1
ZTH,BTS,4
ZTH,ARN,2
ZTH,ZRH,4
ZTH,BFS,1
ZTH,BHX,13
ZTH,BOH,1
ZTH,BRS,11
ZTH,CWL,2
ZTH,EDI,3
ZTH,EXT,3
ZTH,GLA,3
ZTH,LBA,3
ZTH,LGW,17
ZTH,LHR,4
ZTH,LTN,1
ZTH,STN,8
ZTH,MAN,17
ZTH,NCL,6
ZTH,EMA,8
ZAM,CEB,17
ZAM,CBO,4
ZAM,DVO,8
ZAM,MNL,56
ZAM,TWT,11
ZZV,OKC,2
ZZE,NO,0
ZNZ,ADD,8
ZNZ,FRA,2
ZNZ,TLV,1
ZNZ,MBA,32
ZNZ,NBO,34
ZNZ,MCT,8
ZNZ,DOH,4
ZNZ,JNB,1
ZNZ,ARK,159
ZNZ,DAR,538
ZNZ,JRO,16
ZNZ,PMA,81
ZNZ,SEU,3
ZNZ,TGT,45
ZNZ,IST,3
ZNZ,DXB,17
ZAZ,CRL,2
ZAZ,PVG,2
ZAZ,CNG,2
ZAZ,BVA,2
ZAZ,BLQ,2
ZAZ,BGY,3
ZAZ,TSF,2
ZAZ,MEX,6
ZAZ,RAK,2
ZAZ,DOH,5
ZAZ,OTP,4
ZAZ,CLJ,2
ZAZ,RUH,3
ZAZ,ABC,1
ZAZ,LPA,2
ZAZ,MAH,4
ZAZ,PMI,11
ZAZ,SCQ,2
ZAZ,TFN,4
ZAZ,GVA,1
ZAZ,IST,1
ZAZ,DWC,2
ZAZ,STN,5
ZAZ,JFK,2
ZAJ,NO,0
ZPH,NO,0
ZQZ,CKG,4
ZQZ,DLC,4
ZQZ,SHA,4
ZQZ,PVG,8
ZQZ,SHE,4
ZQZ,SZX,4
ZQZ,SJW,16
ZQZ,TSN,4
ZQZ,XIY,4
ZHA,PEK,8
ZHA,CSX,8
ZHA,TFU,27
ZHA,CKG,12
ZHA,FOC,4
ZHA,CAN,8
ZHA,KWE,8
ZHA,HAK,12
ZHA,HLD,1
ZHA,HGH,8
ZHA,HFE,8
ZHA,HNY,2
ZHA,HUZ,4
ZHA,SWA,14
ZHA,TNA,8
ZHA,KMG,24
ZHA,LZH,3
ZHA,KHN,12
ZHA,NKG,8
ZHA,LZY,1
ZHA,JJN,8
ZHA,JUZ,4
ZHA,SYX,8
ZHA,PVG,36
ZHA,HSC,2
ZHA,WUH,20
ZHA,XIY,4
ZHA,YYA,4
ZHA,CGO,8
ZHA,WMT,4
ZFL,URC,4
ZAT,PKX,4
ZAT,CTU,4
ZAT,DLU,4
ZAT,CAN,0
ZAT,HGH,8
ZAT,KMG,19
ZAT,PVG,4
ZAT,XIY,4
ZHY,PEK,4
ZHY,CKG,4
ZHY,CAN,4
ZHY,NKG,4
ZHY,URC,4
ZHY,WUH,4
ZHY,XIY,4
ZUH,PEK,48
ZUH,PKX,63
ZUH,BFJ,1
ZUH,CGD,8
ZUH,CSX,4
ZUH,CZX,8
ZUH,CTU,8
ZUH,TFU,32
ZUH,CKG,45
ZUH,DLU,4
ZUH,DZH,4
ZUH,ENH,4
ZUH,EHU,4
ZUH,FOC,20
ZUH,KOW,8
ZUH,KWE,12
ZUH,HAK,36
ZUH,HGH,51
ZUH,HRB,4
ZUH,HFE,18
ZUH,HIA,2
ZUH,SWA,3
ZUH,TNA,20
ZUH,JHG,1
ZUH,KMG,32
ZUH,LHW,8
ZUH,LYG,4
ZUH,LJG,4
ZUH,LYI,3
ZUH,LZO,7
ZUH,MXZ,2
ZUH,KHN,26
ZUH,NKG,43
ZUH,NTG,0
ZUH,NNY,8
ZUH,NGB,12
ZUH,JJN,4
ZUH,SYX,8
ZUH,SHA,49
ZUH,PVG,36
ZUH,SHE,8
ZUH,SJW,3
ZUH,TYN,16
ZUH,TSN,16
ZUH,WNZ,16
ZUH,WUH,37
ZUH,WUX,8
ZUH,XIY,40
ZUH,XMN,10
ZUH,XFN,8
ZUH,XIC,4
ZUH,XUZ,7
ZUH,YNZ,8
ZUH,YTY,8
ZUH,YIH,8
ZUH,YIC,4
ZUH,YIW,16
ZUH,YCU,7
ZUH,CGO,41
ZUH,ZYI,4
ZTR,NO,0
ZIG,NO,0
ZIH,MEX,37
ZIH,TIJ,5
ZIH,DFW,1
ZIH,IAH,1
ZIH,LAX,2
ZIH,PHX,1
ZYI,PKX,16
ZYI,CZX,4
ZYI,CTU,4
ZYI,CAN,5
ZYI,HAK,8
ZYI,HGH,8
ZYI,HFE,4
ZYI,JHG,8
ZYI,LHW,8
ZYI,LJG,8
ZYI,NKG,8
ZYI,NGB,4
ZYI,SYX,4
ZYI,PVG,14
ZYI,SZX,8
ZYI,WNZ,16
ZYI,WUH,8
ZYI,XIY,8
ZYI,XMN,7
ZYI,XIC,4
ZYI,ACX,15
ZYI,ENY,4
ZYI,CGO,8
ZYI,ZUH,4
ZRH,TIA,3
ZRH,GRZ,3
ZRH,VIE,63
ZRH,BRU,30
ZRH,SJJ,3
ZRH,GRU,8
ZRH,SOF,7
ZRH,YUL,5
ZRH,YYZ,8
ZRH,YVR,5
ZRH,SID,1
ZRH,PVG,3
ZRH,SJO,2
ZRH,DBV,7
ZRH,PUY,1
ZRH,SPU,11
ZRH,ZAG,17
ZRH,HAV,2
ZRH,LCA,19
ZRH,PRG,25
ZRH,CPH,44
ZRH,PUJ,2
ZRH,CAI,5
ZRH,HRG,20
ZRH,RMF,7
ZRH,SSH,2
ZRH,TLL,3
ZRH,HEL,16
ZRH,BOD,8
ZRH,CEQ,1
ZRH,CMR,1
ZRH,FSC,2
ZRH,CTT,1
ZRH,MRS,7
ZRH,NTE,4
ZRH,NCE,33
ZRH,CDG,63
ZRH,LBG,1
ZRH,BER,64
ZRH,BRE,1
ZRH,CGN,16
ZRH,DRS,10
ZRH,DUS,50
ZRH,ERF,1
ZRH,FRA,70
ZRH,HAM,56
ZRH,HAJ,18
ZRH,MUC,45
ZRH,NUE,14
ZRH,SCN,1
ZRH,BBH,1
ZRH,STR,20
ZRH,GWT,5
ZRH,ATH,37
ZRH,CHQ,1
ZRH,CFU,3
ZRH,HER,27
ZRH,KLX,2
ZRH,KGS,13
ZRH,JMK,7
ZRH,RHO,10
ZRH,JTR,3
ZRH,SKG,11
ZRH,ZTH,4
ZRH,HKG,8
ZRH,BUD,24
ZRH,KEF,14
ZRH,DEL,8
ZRH,BOM,8
ZRH,ORK,1
ZRH,DUB,30
ZRH,TLV,26
ZRH,BRI,2
ZRH,BLQ,14
ZRH,BDS,16
ZRH,CAG,5
ZRH,CTA,11
ZRH,FLR,33
ZRH,GOA,1
ZRH,SUF,5
ZRH,LIN,1
ZRH,MXP,36
ZRH,NAP,16
ZRH,OLB,7
ZRH,PMO,14
ZRH,PSA,1
ZRH,FCO,41
ZRH,VCE,24
ZRH,NRT,5
ZRH,JER,3
ZRH,AMM,4
ZRH,PRN,45
ZRH,RIX,11
ZRH,BEY,3
ZRH,VNO,4
ZRH,LUX,21
ZRH,MLE,1
ZRH,MLA,13
ZRH,CUN,1
ZRH,TGD,5
ZRH,TIV,3
ZRH,AMS,77
ZRH,OHD,3
ZRH,SKP,19
ZRH,BGO,2
ZRH,OSL,24
ZRH,TOS,2
ZRH,MCT,5
ZRH,GDN,3
ZRH,KRK,8
ZRH,WAW,36
ZRH,WRO,2
ZRH,CAT,1
ZRH,FAO,4
ZRH,FNC,4
ZRH,LIS,46
ZRH,PDL,1
ZRH,OPO,33
ZRH,DOH,12
ZRH,OTP,16
ZRH,RUH,3
ZRH,BEG,48
ZRH,SIN,15
ZRH,BTS,1
ZRH,LJU,11
ZRH,JNB,7
ZRH,ICN,4
ZRH,ALC,11
ZRH,BCN,48
ZRH,BIO,4
ZRH,FUE,8
ZRH,LPA,13
ZRH,IBZ,25
ZRH,ACE,2
ZRH,MAD,49
ZRH,MAH,2
ZRH,AGP,24
ZRH,PMI,80
ZRH,SCQ,1
ZRH,TFS,12
ZRH,VLC,20
ZRH,GOT,16
ZRH,ARN,33
ZRH,GVA,45
ZRH,BKK,15
ZRH,DJE,3
ZRH,ESB,3
ZRH,AYT,36
ZRH,DLM,1
ZRH,GZT,1
ZRH,IST,33
ZRH,SAW,22
ZRH,ADB,9
ZRH,AUH,8
ZRH,DXB,24
ZRH,BHX,10
ZRH,BRS,3
ZRH,EDI,7
ZRH,FAB,1
ZRH,LCY,53
ZRH,LGW,16
ZRH,LHR,91
ZRH,LTN,4
ZRH,MAN,15
ZRH,BOS,16
ZRH,ORD,24
